frame,object_id,class,x,y,width,height
0,1,person,193.56,393.77,235.75,403.38
0,2,person,866.43,194.7,129.66,168.4
1,1,person,193.57,397.66,233.47,399.38
1,2,person,868.78,186.91,131.27,170.51
2,1,person,199.07,390.01,223.81,382.57
2,2,person,866.51,182.88,128.08,165.41
3,1,person,207.25,389.37,221.94,377.4
3,2,person,879.01,177.9,127.14,164.43
4,1,person,223.15,393.04,225.25,377.16
5,1,person,247.07,405.24,230.03,376.89
5,2,person,889.35,164.5,112.52,147.18
6,1,person,265.93,407.93,232.43,376.82
6,2,person,895.38,159.12,110.03,144.26
7,1,person,286.6,411.09,232.0,374.3
7,2,person,889.66,162.31,106.53,138.98
8,1,person,310.82,419.12,230.66,367.67
8,2,person,896.67,162.03,108.43,140.78
9,1,person,341.05,427.23,217.02,339.69
10,1,person,364.49,437.47,207.31,318.34
11,1,person,386.95,452.5,200.61,300.42
12,1,person,412.17,462.42,198.49,287.48
12,8,person,952.32,169.74,69.59,127.87
12,9,person,325.13,337.18,629.06,610.73
13,1,person,429.77,470.7,198.96,278.24
13,8,person,953.03,169.89,69.37,127.13
13,9,person,326.99,330.04,626.54,607.84
14,1,person,447.92,479.42,190.25,254.7
14,8,person,956.19,164.31,64.97,118.61
15,1,person,471.08,486.75,187.63,238.95
15,8,person,958.37,156.31,60.31,109.45
15,9,person,317.64,332.02,622.66,603.75
16,1,person,502.3,494.18,187.01,223.42
16,8,person,961.13,152.75,58.68,105.88
17,1,person,540.06,500.09,181.07,202.13
17,8,person,962.13,150.26,57.53,103.11
18,1,person,565.25,507.1,176.91,182.87
18,8,person,964.66,148.0,58.09,103.17
19,1,person,583.44,519.21,165.99,162.64
19,8,person,970.81,147.49,55.79,98.58
20,1,person,605.65,531.32,140.92,133.15
20,8,person,972.09,148.69,53.75,95.0
21,8,person,970.1,153.6,54.79,95.93
32,12,person,663.55,191.09,101.0,155.5
33,12,person,655.23,192.75,102.47,157.42
34,12,person,647.11,190.66,104.17,159.06
35,12,person,646.26,188.06,106.18,161.32
36,12,person,647.29,186.54,108.13,163.08
37,12,person,645.94,186.78,110.71,164.95
38,12,person,647.67,189.96,108.46,159.71
39,12,person,658.48,190.32,110.16,160.9
40,12,person,663.18,186.94,112.72,163.99
41,12,person,665.35,186.66,112.94,163.7
42,12,person,665.37,188.53,111.49,160.52
43,12,person,667.62,190.4,109.88,157.03
44,12,person,664.06,193.7,114.5,161.75
45,12,person,669.08,195.95,114.53,162.38
46,12,person,673.05,198.24,113.36,161.73
47,12,person,676.61,198.1,115.11,164.41
48,12,person,681.03,195.04,116.05,164.64
49,12,person,680.02,189.3,116.97,166.26
50,12,person,680.61,187.17,117.48,167.58
51,12,person,679.08,186.77,116.54,165.67
52,12,person,677.84,188.22,116.49,164.93
52,14,person,845.17,539.67,237.88,123.37
55,12,person,686.39,186.74,113.66,162.51
68,12,person,679.51,197.65,113.92,165.35
69,12,person,678.29,196.04,114.34,169.7
70,12,person,680.07,194.62,113.82,168.32
71,12,person,681.76,192.3,111.81,165.12
72,12,person,683.31,187.57,111.84,164.39
73,12,person,684.89,184.89,111.91,163.05
74,12,person,690.7,181.49,111.33,160.34
75,12,person,694.44,179.77,113.66,161.3
78,12,person,703.66,185.17,111.54,155.15
79,12,person,712.0,185.09,113.56,155.58
80,12,person,716.39,184.76,115.61,156.51
81,12,person,716.58,184.68,117.39,157.54
87,21,person,1124.95,175.73,89.6,115.28
114,28,person,724.48,179.11,137.65,153.5
115,28,person,722.97,184.88,138.58,154.29
116,28,person,727.64,188.45,140.79,155.9
117,28,person,730.62,190.41,141.02,156.43
120,28,person,753.26,201.4,141.17,151.73
149,30,person,409.92,234.9,559.22,246.05
150,30,person,414.56,231.44,565.92,248.98
151,30,person,417.91,232.18,576.98,253.97
152,30,person,418.46,230.98,569.63,250.56
153,30,person,425.92,231.53,568.33,250.15
154,30,person,427.99,230.66,564.78,248.54
155,30,person,424.62,232.25,562.93,247.94
156,30,person,422.76,232.21,562.04,247.64
182,35,person,1117.67,503.22,217.42,206.24
183,35,person,1080.47,500.6,232.45,220.58
184,35,person,1040.62,492.62,250.65,238.26
185,35,person,1001.53,485.18,280.96,268.51
186,35,person,975.79,477.05,305.79,296.37
187,35,person,947.21,471.19,316.5,311.66
188,35,person,921.77,462.75,321.05,323.59
189,35,person,893.94,452.6,328.3,339.61
190,35,person,866.71,438.2,331.85,351.98
191,35,person,830.1,415.43,317.85,342.43
192,35,person,795.68,394.55,340.74,376.67
193,35,person,780.1,386.46,317.86,358.47
194,35,person,761.44,353.88,294.56,343.39
195,35,person,745.35,346.92,269.29,323.6
196,35,person,731.14,341.75,258.64,321.07
197,35,person,714.06,336.41,250.43,320.58
198,35,person,715.63,328.85,247.39,322.81
199,35,person,712.95,306.84,221.57,288.03
200,35,person,705.27,301.02,219.67,283.5
201,35,person,671.88,300.52,215.89,284.35
202,35,person,661.24,300.16,210.26,282.28
203,35,person,651.79,293.09,202.39,276.28
204,35,person,648.4,282.12,193.49,264.89
205,35,person,652.75,273.08,188.1,256.85
206,35,person,648.43,269.55,188.25,257.94
207,35,person,639.63,266.44,184.08,255.35
208,35,person,640.01,262.16,176.25,248.62
209,35,person,644.92,252.01,159.32,226.9
210,35,person,649.44,245.65,151.55,216.64
211,35,person,653.64,245.01,149.75,215.1
212,35,person,650.85,244.35,147.38,213.88
213,35,person,651.06,239.14,142.01,203.31
214,35,person,655.8,233.06,136.34,190.77
215,35,person,658.0,229.06,131.49,179.95
216,35,person,662.95,227.98,133.72,179.86
217,35,person,666.91,226.25,135.35,180.16
218,35,person,674.29,227.16,135.59,179.23
219,35,person,683.89,227.68,134.37,176.54
220,35,person,691.53,228.02,138.13,177.51
221,35,person,689.67,228.54,135.92,175.89
222,35,person,697.84,228.52,137.09,176.91
223,35,person,696.15,226.64,133.65,173.02
224,35,person,691.68,224.23,131.28,169.32
225,35,person,691.82,223.04,132.01,167.83
226,35,person,687.0,221.02,130.07,165.26
227,35,person,689.28,223.95,133.06,168.62
228,35,person,705.97,228.1,142.72,173.75
229,35,person,715.05,225.75,145.27,169.38
230,35,person,686.46,230.52,148.98,179.98
231,35,person,675.14,227.57,143.35,178.79
232,35,person,664.38,233.22,144.48,187.56
233,35,person,658.33,234.31,143.15,192.79
234,35,person,651.68,233.6,146.28,200.26
235,35,person,650.73,235.69,148.82,206.89
236,35,person,656.69,242.79,147.97,209.73
237,35,person,664.67,252.33,150.72,216.11
238,35,person,673.02,253.42,150.68,216.81
239,35,person,683.86,257.18,153.41,220.8
240,35,person,694.34,267.34,170.73,249.4
241,35,person,694.95,279.47,178.76,266.68
242,35,person,691.56,284.56,181.57,275.73
243,35,person,689.32,286.8,179.59,278.16
244,35,person,685.88,294.58,174.34,275.08
245,35,person,692.61,312.83,181.16,290.37
246,35,person,704.46,323.98,185.63,299.66
247,35,person,713.09,325.49,186.23,300.9
248,35,person,728.16,328.38,191.86,304.05
249,35,person,728.64,353.72,204.84,326.47
250,35,person,731.48,375.11,211.46,340.16
250,69,person,1096.24,258.84,110.42,203.96
251,35,person,737.08,387.76,209.2,338.85
251,69,person,1082.3,262.36,116.62,213.78
252,35,person,740.76,392.15,205.27,335.06
252,69,person,1086.33,263.55,121.52,221.09
253,35,person,744.06,400.94,203.55,335.86
254,35,person,750.67,425.7,209.48,348.63
255,35,person,758.76,437.69,211.36,351.16
256,35,person,769.09,450.56,208.71,342.35
257,35,person,779.64,459.69,207.19,332.59
258,35,person,786.78,470.52,200.04,308.1
259,35,person,785.79,474.95,195.05,283.98
260,35,person,781.77,481.08,187.92,261.01
261,35,person,782.29,485.02,182.56,243.8
262,35,person,791.78,491.46,176.63,226.3
263,35,person,809.34,497.06,176.39,217.63
264,35,person,848.02,498.98,175.63,209.17
265,35,person,881.19,506.19,167.81,189.07
265,73,person,911.27,261.67,108.97,217.98
266,35,person,916.44,514.81,161.95,171.82
267,35,person,941.69,522.32,157.58,157.73
268,35,person,957.59,527.13,153.76,146.08
269,35,person,977.95,530.98,145.39,130.7
270,35,person,989.0,535.7,140.41,118.62
270,76,person,813.22,290.38,99.04,244.26
271,76,person,798.39,288.12,99.62,245.65
272,76,person,775.03,280.96,92.55,227.17
273,76,person,750.53,278.4,92.78,226.32
274,76,person,731.16,289.62,102.42,248.48
275,76,person,710.66,295.49,109.18,264.36
276,76,person,698.0,302.32,114.88,279.32
277,76,person,689.69,303.39,113.24,276.83
278,76,person,685.11,346.16,116.3,286.58
279,76,person,679.25,361.91,111.24,275.04
280,76,person,676.79,371.36,110.15,273.34
281,76,person,671.08,371.62,108.55,266.22
282,76,person,671.05,382.68,115.31,282.24
283,76,person,670.16,389.8,118.01,286.26
284,76,person,667.74,396.68,119.84,289.25
284,78,person,1207.19,512.58,143.15,224.11
285,76,person,664.85,401.16,120.78,288.05
285,78,person,1204.32,509.9,147.83,231.3
286,76,person,662.35,412.72,128.47,303.53
286,78,person,1199.72,504.97,154.16,240.89
