frame,object_id,class,x,y,width,height
1,388,person,1098.88,222.7,111.87,305.34
1,389,pallet,667.45,409.23,643.34,243.08
2,388,person,1094.35,222.32,112.3,305.58
2,389,pallet,667.64,407.89,645.73,243.94
3,388,person,1080.28,225.55,114.7,309.16
3,389,pallet,664.89,403.04,652.62,246.54
3,393,carton,715.61,254.77,349.18,226.64
4,388,person,1071.7,227.82,117.47,312.61
4,389,pallet,661.48,401.09,654.21,247.15
4,393,carton,713.13,252.32,351.89,228.53
5,388,person,1065.09,229.86,119.45,312.24
5,389,pallet,657.98,401.18,656.18,247.95
5,393,carton,711.47,252.53,351.75,228.65
6,388,person,1061.35,232.33,123.55,316.56
6,389,pallet,654.29,400.32,658.86,249.14
6,393,carton,708.38,252.42,352.25,229.17
7,388,person,1059.66,237.66,126.47,317.55
7,389,pallet,650.67,400.15,657.99,248.91
7,393,carton,704.84,251.97,355.18,231.51
8,388,person,1058.75,238.54,126.85,312.35
8,389,pallet,647.54,400.03,652.65,246.94
8,393,carton,700.38,251.55,348.77,227.37
9,388,person,1064.68,239.77,125.62,305.74
9,389,pallet,644.42,400.25,647.42,244.95
9,393,carton,696.11,253.32,341.05,221.98
10,388,person,1069.62,240.36,124.15,298.77
10,389,pallet,643.13,401.58,646.16,244.37
10,393,carton,692.33,254.95,339.78,220.74
11,388,person,1070.71,241.92,125.88,298.55
11,389,pallet,641.31,401.46,640.32,241.71
11,393,carton,688.04,253.15,340.74,221.6
12,388,person,1066.76,243.85,129.42,302.0
12,389,pallet,635.22,400.67,646.53,244.06
12,393,carton,683.64,252.95,337.59,219.44
13,388,person,1063.42,246.38,133.32,307.01
13,389,pallet,630.68,399.05,644.8,243.37
13,393,carton,679.77,251.26,337.28,219.22
14,388,person,1059.18,244.35,134.65,304.7
14,389,pallet,627.55,399.31,637.18,240.32
14,393,carton,675.87,250.49,334.34,216.94
15,388,person,1054.94,243.1,137.08,304.15
15,389,pallet,623.71,398.55,634.31,238.99
15,393,carton,671.87,246.03,338.25,219.48
16,388,person,1048.1,240.64,140.89,304.79
16,389,pallet,618.46,397.31,633.08,237.99
16,393,carton,669.36,239.64,345.86,225.0
17,388,person,1035.44,245.12,149.94,313.04
17,389,pallet,614.77,396.3,636.09,238.91
17,393,carton,668.83,236.95,347.88,227.06
18,388,person,1029.22,248.91,158.37,319.96
18,389,pallet,617.05,396.6,637.56,239.45
18,393,carton,671.2,239.9,344.28,225.08
19,388,person,1019.6,256.37,165.92,321.1
19,389,pallet,621.6,397.79,633.8,237.89
19,393,carton,674.08,244.31,337.5,220.48
20,388,person,1015.96,259.1,172.55,321.47
20,389,pallet,623.21,398.28,632.16,237.06
20,393,carton,675.22,245.92,335.95,219.39
21,388,person,1023.3,264.11,172.55,315.12
21,393,carton,678.7,247.59,335.3,219.09
22,388,person,1026.51,265.83,174.11,312.4
22,393,carton,680.05,248.43,335.03,219.05
23,388,person,1024.69,269.82,174.86,311.29
23,393,carton,683.67,251.14,336.98,220.68
24,388,person,1021.24,272.49,176.49,311.0
24,393,carton,685.45,253.86,334.79,218.41
25,388,person,1019.23,270.89,174.58,305.71
25,393,carton,687.74,254.11,335.53,218.24
26,388,person,1018.58,270.05,174.31,303.47
26,393,carton,688.57,253.86,338.26,219.63
27,388,person,1008.07,269.42,175.68,303.9
27,393,carton,689.37,252.54,341.67,221.65
28,388,person,998.35,269.63,176.88,304.89
28,393,carton,688.9,252.57,344.51,223.52
29,388,person,992.22,269.86,177.72,305.46
29,393,carton,689.17,252.59,343.71,223.58
30,388,person,986.77,271.21,176.65,304.11
30,393,carton,689.29,250.35,346.71,226.41
31,388,person,983.71,266.33,169.33,291.87
31,393,carton,688.19,248.38,342.34,223.83
32,388,person,980.92,273.99,174.07,305.36
32,393,carton,687.43,247.48,346.53,227.67
32,397,person,1248.18,114.91,60.23,154.1
33,388,person,974.33,279.76,177.76,316.83
33,393,carton,686.36,244.3,346.37,228.39
33,397,person,1247.55,111.98,59.85,152.86
34,388,person,968.85,282.25,177.31,321.74
34,393,carton,684.37,241.73,349.37,231.01
34,397,person,1247.63,107.7,56.0,142.27
35,388,person,961.8,286.51,176.82,327.32
35,393,carton,682.53,238.73,349.14,231.54
35,397,person,1235.99,104.31,58.68,145.78
36,388,person,957.08,287.61,172.26,325.72
36,393,carton,681.2,236.5,348.93,232.09
36,397,person,1228.07,101.19,61.53,147.88
37,388,person,950.66,290.11,170.6,328.79
37,393,carton,680.2,235.61,346.73,231.16
37,397,person,1219.67,99.5,64.39,147.5
38,388,person,945.25,288.91,166.5,326.51
38,393,carton,679.19,234.69,350.64,234.74
38,397,person,1214.78,97.04,68.16,147.59
39,388,person,938.0,285.75,160.79,317.95
39,393,carton,677.72,236.81,345.95,231.96
40,388,person,936.47,284.14,156.95,314.26
40,393,carton,677.96,236.74,340.96,228.55
41,388,person,934.13,294.98,163.98,334.51
41,393,carton,678.16,236.61,341.6,229.15
42,388,person,932.98,298.07,163.36,339.02
42,393,carton,678.05,236.15,343.25,230.66
43,388,person,931.64,289.32,153.62,321.67
43,393,carton,676.35,235.37,342.93,230.61
44,388,person,931.51,283.18,146.48,309.73
44,393,carton,674.97,234.89,337.86,226.91
44,397,person,1184.47,95.3,69.41,141.66
45,388,person,931.35,281.84,143.73,307.96
45,393,carton,673.14,233.21,341.27,229.37
45,397,person,1177.58,94.7,70.51,140.09
46,388,person,931.0,281.16,141.63,307.87
46,393,carton,671.7,233.59,336.96,226.07
46,397,person,1173.01,94.18,71.36,138.0
46,403,person,930.94,227.1,128.67,196.73
47,388,person,930.8,280.27,138.83,305.26
47,393,carton,670.09,234.66,336.01,225.14
47,397,person,1171.79,94.09,73.12,136.67
47,403,person,931.03,227.6,128.21,196.06
48,388,person,930.21,278.61,136.92,302.79
48,393,carton,668.51,234.2,339.52,227.5
48,397,person,1167.77,93.32,74.05,135.91
49,388,person,932.59,275.24,133.91,297.33
49,393,carton,667.84,232.41,344.9,231.63
49,397,person,1166.46,93.69,75.46,136.56
50,388,person,933.58,273.84,132.46,295.2
50,393,carton,667.7,231.9,346.31,233.04
50,397,person,1166.08,93.88,76.61,136.98
51,388,person,938.63,275.56,136.12,303.64
51,393,carton,670.06,233.88,346.89,233.91
51,397,person,1167.18,93.41,75.16,132.44
52,388,person,948.47,273.01,135.08,300.97
52,393,carton,672.93,235.21,345.89,233.64
53,388,person,952.32,272.11,134.86,300.16
53,393,carton,674.02,235.82,344.8,233.22
54,388,person,961.78,270.73,135.78,302.34
54,393,carton,675.83,237.23,341.58,231.08
55,388,person,969.98,271.23,136.61,305.13
55,393,carton,677.64,238.45,338.47,228.8
56,388,person,978.63,272.23,136.46,307.81
56,393,carton,679.03,239.95,338.64,228.95
57,388,person,983.38,277.36,138.97,317.04
57,393,carton,679.69,240.89,339.89,230.06
58,388,person,986.96,283.39,141.96,327.28
58,393,carton,680.42,242.67,340.17,230.44
59,388,person,989.18,286.21,142.34,331.29
59,393,carton,681.5,244.06,340.32,230.73
59,405,person,989.12,234.97,128.49,228.07
60,388,person,991.02,287.03,142.17,333.66
60,393,carton,682.58,244.86,340.64,231.08
60,405,person,990.79,226.24,119.9,212.43
60,407,person,182.41,357.51,331.8,486.33
61,388,person,992.21,285.73,140.83,332.93
61,393,carton,684.03,243.79,342.87,233.29
61,407,person,181.67,327.11,363.34,536.95
62,388,person,993.03,284.92,140.62,334.96
62,393,carton,685.08,242.1,341.04,232.38
63,388,person,993.74,285.14,140.6,337.38
63,393,carton,686.21,242.32,338.29,230.55
63,407,person,185.13,318.22,370.27,552.83
64,388,person,994.18,284.18,138.58,334.63
64,393,carton,687.14,243.61,337.48,229.95
64,405,person,994.14,231.85,128.88,228.59
65,388,person,994.91,283.93,136.72,331.85
65,393,carton,688.37,244.79,338.13,230.28
65,405,person,994.91,231.98,128.51,227.85
66,388,person,994.67,284.44,135.92,331.18
66,393,carton,689.97,248.04,333.27,226.19
66,405,person,995.37,230.43,126.05,223.12
67,388,person,994.69,287.21,136.94,334.9
67,393,carton,690.98,249.63,330.1,222.88
67,405,person,996.22,230.81,125.51,221.86
68,388,person,994.78,292.04,138.96,341.4
68,393,carton,693.41,250.58,331.99,223.58
68,405,person,997.16,230.58,123.59,217.85
69,388,person,995.1,295.6,139.64,343.78
69,393,carton,696.83,252.94,332.97,223.96
70,388,person,996.16,298.2,139.3,343.05
70,393,carton,699.78,258.17,333.27,224.14
71,388,person,996.27,300.47,139.78,344.53
71,393,carton,701.58,259.94,336.57,226.51
72,388,person,996.76,300.53,140.03,345.45
72,393,carton,702.77,258.05,340.16,229.27
73,388,person,996.67,298.35,140.07,345.88
73,393,carton,703.16,255.39,341.24,230.48
74,388,person,996.66,296.68,140.65,347.87
74,393,carton,703.07,251.72,343.45,232.33
75,388,person,996.06,295.36,140.32,347.92
75,393,carton,702.5,254.0,336.95,227.6
76,388,person,995.85,294.99,140.1,348.28
76,393,carton,702.02,254.42,335.8,226.61
77,388,person,995.64,293.77,138.91,346.96
77,393,carton,701.08,253.55,336.72,227.2
78,388,person,996.18,290.82,136.88,343.14
78,393,carton,701.57,252.43,339.1,228.94
79,388,person,996.99,286.85,135.03,339.37
79,393,carton,700.69,248.39,337.9,228.05
79,412,person,1171.92,111.14,89.2,142.4
80,388,person,997.91,282.0,133.02,334.39
80,393,carton,701.32,243.14,337.8,228.02
80,412,person,1172.05,105.82,89.2,142.49
81,388,person,998.47,278.73,132.85,333.85
81,393,carton,701.54,239.33,341.2,230.72
81,412,person,1170.84,100.99,89.94,143.9
82,388,person,999.19,275.21,132.11,331.58
82,393,carton,702.11,239.28,338.54,228.93
82,412,person,1170.74,98.52,89.83,143.99
82,414,person,1161.58,97.45,52.0,139.11
83,388,person,999.74,273.57,132.1,331.35
83,393,carton,702.37,238.68,338.78,229.09
83,412,person,1170.3,98.04,89.92,144.37
83,414,person,1163.01,96.55,51.65,137.9
84,388,person,999.72,273.77,132.51,332.33
84,393,carton,702.39,238.97,339.68,229.77
84,412,person,1169.65,98.58,90.72,145.91
84,414,person,1162.46,97.92,52.53,139.61
85,388,person,999.71,273.95,132.69,332.77
85,393,carton,702.48,239.18,341.1,230.93
85,412,person,1169.23,98.83,90.69,146.14
85,414,person,1162.43,98.41,52.84,139.58
86,388,person,999.98,275.86,133.49,334.81
86,393,carton,702.28,238.71,341.11,231.12
86,412,person,1171.02,101.66,93.27,150.74
87,388,person,1000.18,279.47,134.6,336.91
87,393,carton,702.43,241.55,345.11,234.4
87,412,person,1167.75,108.28,96.48,155.91
88,388,person,999.51,282.21,135.7,338.95
88,393,carton,701.34,244.87,343.98,233.71
88,412,person,1164.98,111.87,97.07,156.42
89,388,person,999.26,283.31,136.39,340.06
89,393,carton,700.89,245.91,343.82,233.7
89,412,person,1163.6,113.09,97.2,156.23
90,388,person,999.85,287.49,138.08,344.45
90,393,carton,700.62,249.43,340.43,231.17
90,412,person,1163.4,116.37,96.94,155.57
91,388,person,1000.15,289.38,138.85,346.66
91,393,carton,700.37,250.63,339.59,230.4
91,412,person,1163.51,117.8,97.3,155.86
92,388,person,999.54,290.21,138.37,345.2
92,393,carton,698.48,250.58,336.92,227.96
92,412,person,1154.58,118.77,94.39,154.01
93,388,person,998.64,288.39,137.45,342.51
93,393,carton,698.08,247.87,335.71,226.68
93,412,person,1147.44,117.73,92.77,154.38
93,405,person,1001.56,234.66,133.2,236.65
94,388,person,998.37,287.51,137.08,341.27
94,393,carton,697.8,246.57,335.7,226.23
94,412,person,1144.94,117.29,91.27,154.74
94,405,person,1001.58,236.88,134.5,241.42
95,388,person,997.36,285.55,136.5,338.74
95,393,carton,696.7,243.03,341.42,230.23
95,412,person,1141.85,117.05,91.79,157.94
95,405,person,1000.14,233.65,132.43,236.39
96,388,person,998.91,281.65,135.39,335.73
96,393,carton,697.16,238.98,341.78,230.43
96,412,person,1134.96,109.99,89.09,152.19
96,405,person,1001.47,225.9,127.89,226.95
97,388,person,999.18,277.64,133.96,331.27
97,393,carton,696.87,238.27,335.09,225.02
97,412,person,1132.12,108.51,92.16,155.06
98,388,person,999.21,276.21,133.73,329.85
98,393,carton,696.75,237.81,333.63,223.3
98,412,person,1131.27,107.98,94.29,156.49
99,388,person,999.13,274.65,133.81,329.12
99,393,carton,697.8,237.71,334.74,223.77
99,412,person,1127.98,108.74,95.7,158.06
100,388,person,999.06,274.16,134.16,329.23
100,393,carton,698.33,237.74,335.5,224.03
100,412,person,1126.68,109.05,96.38,158.54
101,388,person,996.83,271.25,133.07,326.25
101,412,person,1130.81,105.38,101.93,162.52
102,388,person,995.62,270.44,133.63,327.9
102,412,person,1126.39,103.66,102.92,163.07
103,388,person,994.64,268.66,133.85,328.21
103,412,person,1127.38,104.29,105.15,166.94
104,388,person,994.8,267.41,133.75,327.88
104,412,person,1132.39,104.94,107.37,168.74
105,388,person,994.73,266.61,133.6,327.43
105,412,person,1133.52,106.07,108.94,170.35
105,393,carton,702.15,228.08,344.16,230.14
106,388,person,994.9,268.07,135.04,331.31
106,412,person,1141.49,106.29,114.64,174.62
107,388,person,994.98,268.95,135.72,333.38
107,412,person,1143.5,106.12,117.94,175.87
108,388,person,994.95,267.18,135.32,332.56
108,412,person,1147.33,109.41,124.02,182.65
108,393,carton,706.04,224.44,341.13,228.23
109,388,person,994.87,266.65,135.2,332.39
109,412,person,1148.81,110.5,126.87,184.71
110,388,person,996.34,265.8,137.21,337.34
110,412,person,1151.06,103.36,119.0,170.36
110,393,carton,708.58,222.01,342.66,229.84
111,388,person,997.1,265.93,138.12,339.73
111,412,person,1155.09,101.03,119.36,168.12
111,393,carton,709.14,220.61,342.02,229.78
111,405,person,997.44,205.1,127.99,223.84
112,388,person,997.67,263.9,137.39,337.42
112,412,person,1156.75,100.6,120.25,166.85
112,393,carton,709.87,220.78,338.01,227.0
113,388,person,998.2,261.45,136.6,334.88
113,412,person,1158.97,107.61,132.41,182.83
113,393,carton,710.38,220.16,337.55,226.66
113,420,person,1133.63,108.99,95.04,171.85
114,388,person,998.95,259.92,136.33,333.44
114,412,person,1160.87,109.65,137.48,187.71
114,393,carton,710.21,220.58,338.68,227.52
115,388,person,999.39,258.42,135.96,331.92
115,412,person,1163.74,109.97,140.15,188.04
115,393,carton,709.86,220.93,340.05,228.61
116,388,person,1000.32,256.51,136.04,331.61
116,412,person,1160.39,110.62,137.77,182.35
116,393,carton,710.19,220.33,341.64,230.1
116,405,person,1000.85,203.02,131.36,228.34
117,388,person,1000.96,254.24,135.88,330.59
117,393,carton,709.85,219.46,336.63,226.52
117,405,person,1001.52,202.15,131.9,228.25
118,388,person,1000.84,252.92,135.92,330.04
118,393,carton,709.15,218.42,332.35,223.16
