frame,object_id,class,x,y,width,height
0,1,person,969.46,423.72,122.94,207.83
0,2,person,972.84,451.03,140.76,264.11
14,6,person,767.57,336.8,71.32,174.52
15,6,person,765.94,326.96,79.27,193.71
16,6,person,765.7,335.71,72.33,175.69
17,6,person,764.95,331.7,73.87,178.43
18,6,person,764.0,326.26,76.42,184.12
19,6,person,765.46,325.89,75.4,181.93
20,6,person,764.12,322.46,79.17,189.97
20,7,person,355.75,499.66,130.33,121.85
21,6,person,764.53,320.57,80.45,193.29
21,7,person,358.29,494.55,138.32,129.66
22,6,person,763.43,319.45,81.39,195.03
23,6,person,762.98,317.24,82.7,197.7
23,7,person,373.37,492.32,136.36,128.01
24,6,person,762.97,316.41,83.16,197.92
25,6,person,763.87,317.87,82.34,195.34
26,6,person,762.82,317.46,83.86,196.74
27,6,person,762.82,316.73,84.22,196.32
28,6,person,765.46,316.84,82.05,192.99
28,7,person,413.21,465.33,179.17,173.4
29,6,person,766.99,317.41,82.36,193.39
29,7,person,420.88,460.3,183.84,184.0
30,6,person,767.11,316.38,81.46,192.65
30,7,person,426.6,456.74,184.29,190.9
31,6,person,767.81,315.27,81.63,193.0
31,7,person,432.88,450.81,182.88,197.25
32,6,person,769.77,319.54,77.87,182.98
32,7,person,438.15,447.81,180.35,202.46
33,6,person,768.74,319.19,77.7,182.9
33,7,person,443.31,445.3,178.69,208.83
34,6,person,767.96,325.19,72.35,168.04
34,7,person,447.37,438.73,179.5,218.42
35,6,person,768.69,330.12,69.56,157.53
35,7,person,451.43,434.35,176.38,222.53
35,13,person,555.66,347.78,77.62,200.59
36,6,person,768.46,332.93,67.43,149.71
36,7,person,457.95,430.89,174.02,226.13
36,13,person,558.76,346.6,77.72,200.71
37,6,person,767.9,332.51,67.14,148.38
37,7,person,463.54,428.17,170.85,228.06
37,13,person,567.76,346.6,77.79,201.02
37,15,box,1173.73,631.35,169.59,177.29
38,6,person,764.32,330.95,68.33,149.78
38,7,person,466.14,426.63,167.01,229.5
38,13,person,576.05,343.78,77.49,200.16
39,7,person,468.69,425.87,163.79,231.61
39,13,person,586.34,338.44,77.35,195.98
40,7,person,471.53,425.44,159.47,231.38
40,13,person,585.36,338.48,79.23,193.75
40,6,person,763.62,313.74,82.2,182.94
41,7,person,470.08,425.91,153.39,230.61
41,13,person,582.61,338.07,82.02,192.04
41,6,person,762.45,311.17,82.27,186.27
42,7,person,476.41,426.69,149.64,230.6
42,23,box,1014.06,479.92,169.48,127.12
43,7,person,480.13,427.11,143.63,226.99
43,23,box,1014.21,479.48,168.69,126.51
43,15,box,1172.55,629.32,173.22,181.37
43,13,person,595.8,338.64,82.19,189.91
44,7,person,485.65,427.81,139.59,226.39
45,7,person,492.97,428.77,135.33,225.08
46,7,person,503.2,429.76,131.66,222.96
46,6,person,755.11,308.15,77.5,183.51
47,7,person,519.12,418.09,141.06,243.08
47,6,person,755.08,305.42,75.66,185.91
48,7,person,533.87,424.49,132.14,229.42
48,6,person,754.45,304.8,72.43,184.04
49,7,person,556.29,413.77,140.14,245.18
49,6,person,756.25,301.76,73.9,189.7
50,7,person,567.73,399.78,148.73,265.67
50,6,person,752.77,300.5,73.58,191.04
51,7,person,575.84,401.12,143.74,261.42
51,6,person,750.66,300.48,71.94,187.41
52,7,person,576.24,385.32,154.75,287.22
52,6,person,743.88,300.23,71.08,187.68
53,7,person,580.36,381.06,156.95,295.61
53,6,person,743.08,300.1,70.94,189.07
54,7,person,585.77,383.16,152.88,293.37
54,6,person,742.16,304.46,67.85,182.67
54,29,person,953.97,574.18,121.67,289.72
55,7,person,601.31,388.17,137.95,274.06
55,6,person,740.52,309.37,64.93,177.63
55,29,person,948.23,567.92,126.72,301.65
56,7,person,610.41,382.48,136.99,281.9
56,6,person,738.9,309.23,62.98,175.76
56,29,person,941.67,558.16,133.21,317.86
57,7,person,614.42,380.92,132.61,282.79
57,6,person,737.47,309.5,62.53,174.89
57,29,person,937.82,549.97,136.38,327.1
60,29,person,912.05,467.2,86.81,201.63
61,29,person,892.22,455.44,86.87,197.0
62,29,person,876.02,449.86,91.72,201.48
62,31,person,622.4,387.74,93.14,189.93
62,6,person,738.6,316.5,62.93,173.45
63,29,person,861.15,439.76,100.35,212.56
63,31,person,623.93,388.59,88.77,180.72
64,29,person,849.59,429.67,106.88,218.58
64,31,person,624.04,397.32,80.25,162.21
65,29,person,846.76,424.22,114.84,231.11
66,29,person,848.57,420.36,121.12,244.85
66,31,person,621.72,397.74,80.6,160.17
67,29,person,848.6,421.88,126.99,258.28
68,29,person,844.29,420.61,136.5,278.37
69,29,person,840.08,420.63,141.53,290.2
70,29,person,828.3,419.55,148.73,305.87
71,29,person,810.84,409.71,156.97,322.79
72,29,person,794.66,402.57,161.31,331.16
72,35,person,549.14,384.18,78.88,172.21
73,29,person,777.5,396.76,166.75,347.91
73,35,person,538.07,384.73,76.56,167.0
73,36,person,672.65,475.29,144.37,299.9
74,29,person,763.3,390.47,167.63,357.92
74,35,person,526.21,383.64,80.97,175.97
74,36,person,664.1,457.28,122.85,253.86
75,29,person,755.98,365.34,176.32,394.28
83,41,person,516.84,386.42,93.53,185.71
84,41,person,515.71,386.69,93.09,184.65
85,41,person,513.08,386.42,91.99,182.38
86,41,person,510.93,386.02,90.73,180.4
87,41,person,509.06,385.91,90.32,180.18
88,41,person,512.65,386.01,92.67,185.74
88,42,person,851.55,484.5,165.44,190.34
89,41,person,519.66,385.82,92.92,185.07
89,43,person,694.05,331.11,88.27,257.2
90,41,person,534.71,384.21,96.31,186.12
91,41,person,529.16,383.89,97.67,187.87
92,41,person,526.43,384.79,96.78,185.79
93,41,person,522.76,387.21,93.71,181.86
94,41,person,521.11,391.51,90.98,180.07
95,41,person,522.77,396.96,86.2,172.0
96,41,person,525.97,394.62,87.64,176.81
96,47,person,993.5,515.85,166.88,141.72
97,47,person,1008.62,518.66,158.16,134.02
98,47,person,1024.84,528.79,152.05,128.4
98,41,person,527.95,391.59,91.06,185.66
102,53,person,765.59,343.07,76.94,297.58
103,53,person,767.46,344.5,73.66,284.04
104,53,person,768.45,344.28,73.4,278.74
105,53,person,784.71,347.74,70.91,265.69
106,53,person,791.83,350.7,72.94,269.61
107,53,person,792.15,353.01,75.7,275.86
108,53,person,801.34,357.49,74.68,275.67
109,53,person,806.04,329.77,83.32,312.83
110,53,person,798.98,332.12,84.25,310.82
111,53,person,790.01,333.03,94.07,337.77
112,53,person,802.63,350.05,89.65,317.92
112,63,person,773.1,669.55,66.69,97.52
113,53,person,819.06,352.45,88.25,313.73
113,63,person,778.82,670.05,67.51,98.99
114,53,person,834.23,355.26,89.18,318.75
114,63,person,781.64,672.42,63.16,92.62
114,67,person,767.7,325.9,76.4,345.5
114,68,person,654.9,392.0,88.61,285.34
115,53,person,844.99,356.74,89.74,316.77
115,63,person,784.58,671.08,64.92,95.2
115,67,person,769.54,331.54,79.15,357.32
116,53,person,861.91,363.98,94.9,330.62
116,63,person,790.17,669.92,66.04,97.01
116,67,person,768.4,339.48,82.29,371.65
117,53,person,878.67,375.13,99.74,342.82
117,63,person,793.75,672.3,63.08,92.72
117,67,person,767.73,334.79,80.28,362.15
118,53,person,891.74,385.82,99.66,342.52
118,63,person,789.99,673.19,62.4,89.38
118,67,person,768.16,332.82,77.62,347.4
119,53,person,910.8,398.53,97.75,337.6
119,67,person,770.79,289.6,60.47,265.46
119,68,person,671.85,392.71,99.06,321.21
120,53,person,928.01,407.54,95.74,331.38
120,67,person,777.21,280.1,54.84,236.41
120,68,person,680.9,400.91,96.36,309.15
121,53,person,945.64,415.71,95.36,327.78
121,67,person,778.95,282.26,55.54,237.65
121,68,person,685.68,405.36,94.02,298.11
122,53,person,963.25,425.63,98.45,328.08
122,68,person,694.21,410.04,94.22,296.41
123,53,person,978.21,435.21,103.39,327.62
123,68,person,699.37,417.95,89.79,278.94
124,53,person,1002.22,435.22,109.24,335.59
125,53,person,1027.74,438.52,111.86,335.01
125,68,person,707.39,428.66,90.92,276.65
126,53,person,1045.89,447.47,108.28,323.44
126,77,person,1012.35,447.23,191.76,328.46
126,68,person,717.21,427.63,99.01,292.63
127,53,person,1068.52,453.65,105.67,315.1
127,77,person,1051.61,493.97,229.91,397.4
127,68,person,717.44,432.71,100.07,294.4
128,53,person,1079.85,455.01,104.03,307.92
128,77,person,1068.68,508.69,241.67,422.63
128,68,person,720.45,441.28,100.89,297.25
129,53,person,1094.94,461.53,103.8,296.08
129,79,person,735.99,439.49,150.03,298.7
130,53,person,1104.45,464.45,106.3,288.54
130,79,person,732.7,442.35,147.61,294.72
131,53,person,1110.35,465.78,106.18,278.98
131,68,person,717.38,453.06,98.53,294.31
132,68,person,722.57,455.52,96.6,288.22
133,68,person,721.91,464.53,95.77,285.9
134,68,person,725.5,471.06,94.05,275.77
135,53,person,1186.59,457.15,112.66,291.84
136,53,person,1193.74,462.81,115.21,293.41
137,53,person,1198.33,469.11,114.76,288.84
138,53,person,1201.79,467.8,115.22,286.31
146,89,person,640.41,364.82,77.59,143.57
146,68,person,766.08,572.01,91.82,214.01
149,91,person,787.79,308.15,58.94,226.0
150,91,person,787.08,309.9,57.77,220.29
151,91,person,786.13,308.56,58.86,222.46
152,91,person,786.41,304.2,62.7,234.11
153,91,person,785.13,300.22,64.08,239.55
156,92,person,724.7,311.43,73.58,223.85
157,92,person,725.07,313.3,72.04,218.75
158,92,person,725.44,318.49,70.49,213.34
159,92,person,721.02,320.06,68.37,205.75
160,92,person,711.95,320.98,69.31,205.51
161,92,person,718.12,320.6,68.04,202.59
164,92,person,700.87,324.84,71.13,202.83
165,92,person,699.28,325.46,74.09,202.8
166,92,person,700.0,326.91,76.19,200.29
168,92,person,706.33,327.99,79.29,195.56
169,92,person,709.45,328.96,82.41,191.51
170,92,person,710.19,329.39,85.58,188.83
171,92,person,709.95,329.37,89.29,187.85
172,92,person,708.21,328.69,94.68,190.63
173,92,person,709.1,328.92,97.16,188.08
174,92,person,711.7,329.02,98.09,184.9
175,92,person,710.4,327.95,101.99,188.04
176,92,person,709.34,326.96,105.29,190.79
177,92,person,709.23,326.84,101.98,187.04
178,92,person,713.52,325.99,96.1,178.52
179,92,person,715.73,322.67,98.51,185.52
180,92,person,714.28,326.98,95.99,180.77
181,92,person,711.32,324.91,100.98,188.83
182,92,person,709.55,323.65,105.57,195.01
