frame,object_id,class,x,y,width,height
1,884,person,685.78,371.15,114.23,360.39
1,885,person,561.68,438.52,141.05,254.7
1,888,person,686.79,266.19,114.8,139.49
2,884,person,687.73,390.03,101.38,318.33
2,885,person,566.81,430.24,151.46,273.34
2,888,person,695.44,264.23,118.91,144.3
3,884,person,692.99,372.77,113.56,355.15
3,885,person,568.44,441.43,139.37,250.14
3,888,person,700.63,260.56,121.56,147.1
4,884,person,693.86,369.29,117.42,365.21
4,885,person,564.77,450.88,129.51,230.41
4,888,person,704.47,258.09,122.8,147.87
5,884,person,697.42,369.58,121.34,374.6
5,885,person,556.57,448.95,131.01,232.51
5,888,person,705.74,256.04,123.69,147.79
6,884,person,688.96,367.26,120.73,371.84
6,885,person,552.24,440.58,138.1,245.24
6,888,person,705.11,252.61,125.84,148.86
7,884,person,683.31,362.22,121.06,372.74
7,885,person,546.71,440.88,135.99,240.81
7,888,person,705.96,247.73,128.56,149.88
7,894,carton,791.75,484.79,166.13,138.9
8,884,person,678.2,378.84,106.91,324.69
8,885,person,540.24,439.85,129.44,226.49
8,888,person,705.39,241.51,132.15,151.48
8,895,person,536.34,293.77,87.23,125.62
9,884,person,671.49,383.16,102.01,304.96
9,885,person,533.23,434.95,130.24,226.8
9,895,person,529.18,283.66,91.77,132.4
9,897,person,702.12,346.75,177.08,376.23
10,884,person,666.34,379.54,103.05,303.84
10,894,carton,779.95,466.01,170.41,142.46
10,888,person,702.13,224.91,138.99,155.38
11,884,person,663.2,371.77,104.18,303.19
11,894,carton,777.07,458.42,174.88,146.24
11,885,person,520.22,404.43,151.18,264.46
11,895,person,514.31,256.9,98.67,142.68
11,897,person,704.21,329.05,184.02,389.2
12,884,person,658.46,364.42,106.51,304.74
12,894,carton,775.88,452.2,177.16,148.07
12,885,person,528.8,405.47,148.59,249.55
12,895,person,511.4,243.91,103.35,149.69
12,897,person,704.46,319.5,189.98,399.62
13,884,person,655.09,354.61,111.84,316.59
13,885,person,515.6,397.09,148.98,248.35
13,897,person,681.01,309.08,188.24,399.09
13,888,person,697.63,191.86,148.71,160.85
14,884,person,651.87,346.69,115.23,322.88
14,885,person,507.21,383.08,158.15,263.8
14,897,person,668.87,312.14,183.83,392.57
14,888,person,696.38,183.21,157.18,165.73
14,894,carton,774.37,438.97,183.13,153.36
15,884,person,648.3,335.5,118.27,327.95
15,885,person,499.43,381.58,153.79,255.28
15,897,person,679.88,299.58,190.48,405.49
15,888,person,701.09,177.82,172.88,178.53
15,894,carton,773.29,432.55,185.65,155.8
15,895,person,493.68,216.87,105.7,154.61
16,884,person,645.91,328.52,120.89,331.49
16,885,person,495.4,377.03,156.81,260.53
16,897,person,686.93,292.28,194.17,410.75
16,888,person,700.7,179.74,194.93,200.06
16,894,carton,773.47,428.86,186.4,156.48
17,884,person,643.71,323.69,124.08,336.8
17,885,person,491.67,366.67,169.23,283.97
17,897,person,683.94,288.25,195.24,411.43
17,888,person,693.8,171.91,192.22,197.11
17,894,carton,773.6,427.55,187.82,157.71
17,895,person,494.89,200.56,106.76,155.51
18,884,person,641.63,322.5,126.79,341.72
18,885,person,489.5,348.85,189.15,322.72
18,897,person,686.08,284.47,201.95,422.74
18,888,person,692.01,174.44,206.59,210.6
18,894,carton,772.47,427.94,190.23,160.09
19,884,person,637.93,324.87,129.74,346.68
19,885,person,485.56,353.99,186.0,320.71
19,888,person,683.31,171.8,200.03,206.27
19,894,carton,770.87,430.65,193.21,162.9
19,909,carton,602.62,78.37,162.47,154.33
19,895,person,491.78,195.93,110.7,160.55
20,884,person,636.0,330.56,132.32,351.5
20,885,person,482.9,367.69,174.48,301.26
20,888,person,693.58,174.21,199.0,207.82
20,894,carton,769.39,434.46,197.1,166.55
20,895,person,485.96,197.15,113.3,165.46
21,884,person,634.08,337.13,134.05,353.02
21,885,person,482.77,380.05,169.85,292.83
21,888,person,696.71,183.41,202.51,215.16
21,895,person,486.16,200.97,114.95,168.75
22,884,person,636.53,346.59,135.25,354.43
22,885,person,484.84,385.41,177.4,307.43
22,888,person,705.24,193.22,201.72,215.78
22,894,carton,774.95,453.56,197.65,166.97
23,884,person,636.66,344.05,128.92,332.71
23,885,person,482.61,407.02,172.23,298.38
23,888,person,711.45,205.5,203.59,218.7
24,884,person,633.08,372.79,138.23,355.05
24,885,person,480.82,423.54,175.13,303.77
24,888,person,708.58,220.14,204.33,221.15
24,914,person,482.88,238.85,109.71,182.55
25,884,person,629.47,391.59,142.34,365.31
25,885,person,470.27,449.51,171.33,296.23
25,888,person,700.49,239.08,205.74,225.56
25,914,person,471.72,254.59,114.2,189.98
26,884,person,621.59,412.33,145.77,374.6
26,885,person,460.23,459.49,182.78,317.54
26,888,person,695.71,256.36,204.32,225.21
27,884,person,613.34,426.84,149.68,383.72
27,885,person,451.44,460.1,196.29,345.0
