frame,object_id,class,x,y,width,height
0,1,person,183.91,526.92,194.96,213.33
0,2,person,800.64,288.37,58.32,165.68
0,3,person,617.08,349.57,79.1,221.91
0,4,forklift,261.53,345.59,523.05,619.75
0,5,person,786.24,289.01,86.7,168.09
0,6,person,1107.64,366.38,108.29,342.85
1,1,person,183.87,526.86,194.52,212.91
1,2,person,797.06,291.88,59.19,167.74
1,3,person,617.59,348.9,80.72,226.61
1,4,forklift,258.1,343.82,513.58,608.45
1,5,person,781.92,290.94,87.65,169.38
1,6,person,1109.19,365.49,107.23,339.68
2,1,person,184.01,526.8,194.95,213.48
2,2,person,796.51,294.91,60.64,171.53
2,3,person,615.14,350.64,79.26,222.4
2,4,forklift,257.23,339.43,514.45,618.13
2,5,person,776.74,292.37,87.81,168.66
2,6,person,1109.62,365.78,106.29,336.92
3,1,person,184.39,526.54,194.99,213.65
3,2,person,797.08,296.41,61.43,173.33
3,3,person,613.38,343.24,83.44,234.11
3,4,forklift,256.86,337.77,513.72,614.58
3,6,person,1109.44,365.56,106.18,336.81
4,1,person,184.61,526.82,195.2,214.14
4,2,person,797.21,295.48,62.23,174.27
4,3,person,609.55,349.2,80.25,223.59
4,4,forklift,258.36,352.68,513.99,609.36
4,6,person,1109.69,366.52,105.71,335.49
4,7,person,740.95,330.55,63.42,99.57
5,1,person,184.96,526.85,195.3,214.55
5,2,person,797.46,295.3,60.21,167.88
5,3,person,607.37,342.12,84.86,236.47
5,4,forklift,251.92,365.08,496.58,588.13
5,6,person,1108.98,366.98,106.22,337.07
6,1,person,185.26,527.06,195.19,214.8
6,2,person,794.24,295.16,61.05,168.56
6,3,person,606.65,340.54,86.72,241.01
6,4,forklift,249.49,367.9,494.09,584.96
6,6,person,1109.38,366.25,105.97,336.83
7,1,person,185.68,527.15,195.47,215.59
7,3,person,603.52,337.38,88.36,244.05
7,4,forklift,248.33,368.15,495.17,586.29
7,6,person,1108.66,366.64,106.36,338.07
8,1,person,186.06,527.54,195.66,216.43
8,3,person,600.58,336.33,90.99,248.29
8,4,forklift,251.77,374.13,490.4,578.97
8,6,person,1108.89,367.51,106.9,339.73
9,1,person,186.26,527.6,195.38,216.74
9,3,person,599.62,336.77,92.97,249.94
9,4,forklift,255.74,372.71,492.26,579.15
10,1,person,186.39,528.08,194.7,216.58
10,3,person,596.43,337.22,95.13,253.41
10,4,forklift,252.26,374.77,488.01,572.76
10,7,person,730.74,332.6,61.33,94.32
11,1,person,186.52,528.59,194.01,216.24
11,3,person,591.89,337.78,96.83,255.58
12,1,person,187.26,528.98,193.22,215.9
12,3,person,586.95,339.39,96.74,254.3
13,1,person,188.22,529.8,192.11,215.14
13,3,person,584.94,339.54,96.16,251.14
13,7,person,727.87,333.77,61.05,91.82
14,1,person,188.78,530.02,191.54,215.14
14,3,person,585.58,339.45,96.11,248.14
14,7,person,727.65,332.5,64.39,95.08
15,1,person,188.55,530.27,191.14,215.32
15,3,person,581.12,339.64,95.65,247.01
16,1,person,188.63,530.41,190.94,215.82
16,3,person,580.14,338.88,95.83,245.88
17,1,person,181.27,530.68,193.92,223.02
17,3,person,582.09,338.03,96.51,245.58
18,1,person,178.63,531.93,191.17,223.08
18,3,person,585.97,337.18,98.08,247.7
19,1,person,177.61,532.68,188.86,223.4
19,3,person,589.62,337.46,98.97,248.52
20,1,person,177.52,533.49,186.91,224.05
20,3,person,592.37,337.21,99.77,249.62
20,5,person,729.98,364.55,87.4,169.41
21,1,person,177.66,533.62,184.85,224.36
21,3,person,594.51,335.59,100.43,250.7
22,1,person,177.68,533.47,183.47,225.38
22,3,person,596.82,335.01,100.61,251.7
22,6,person,1110.4,371.69,106.71,337.05
23,1,person,177.72,532.94,182.66,227.03
23,3,person,598.19,336.02,99.99,252.25
23,6,person,1111.2,372.3,106.7,336.31
24,1,person,177.89,529.36,186.3,234.9
24,3,person,601.07,331.26,101.87,259.48
24,6,person,1112.02,370.58,106.03,333.98
24,5,person,726.34,361.44,75.97,137.91
25,1,person,177.86,530.9,182.45,232.48
25,3,person,603.13,330.15,101.71,262.08
26,1,person,177.96,530.23,181.75,234.2
26,3,person,602.68,337.89,95.38,246.51
27,1,person,178.14,530.77,178.5,232.1
27,3,person,602.07,346.44,88.88,230.13
28,1,person,178.12,532.8,174.2,227.87
28,3,person,602.58,347.08,87.9,227.94
29,1,person,177.96,532.67,172.83,227.54
29,3,person,601.89,347.15,89.42,232.23
30,1,person,178.06,533.13,171.16,226.54
30,3,person,601.68,347.75,89.38,232.35
31,1,person,178.06,532.61,170.88,227.43
31,3,person,601.54,348.81,88.42,230.0
32,1,person,178.13,532.07,170.55,228.22
32,3,person,601.04,354.01,85.13,221.33
33,1,person,178.31,532.7,169.81,228.26
33,3,person,602.67,350.71,86.76,226.31
34,1,person,179.39,535.63,166.34,224.07
34,3,person,603.01,350.54,87.26,226.75
34,6,person,1114.81,368.04,111.75,350.79
35,1,person,181.19,538.16,164.13,221.29
35,3,person,604.88,355.03,87.04,224.48
36,1,person,181.73,539.75,163.62,221.45
36,3,person,605.03,358.61,85.21,219.04
37,1,person,182.65,540.36,162.53,220.52
37,3,person,606.26,353.05,89.1,230.3
38,1,person,185.83,540.36,160.69,218.28
38,3,person,610.08,356.33,87.69,227.79
39,1,person,187.7,540.32,160.08,218.16
39,3,person,609.4,360.27,84.75,220.8
40,1,person,188.08,540.0,160.15,218.84
40,3,person,608.2,361.21,84.01,219.91
41,1,person,187.45,539.75,159.51,218.49
41,3,person,609.13,360.15,83.74,220.03
42,1,person,187.4,539.76,159.59,219.16
42,3,person,608.67,360.09,83.54,220.47
43,1,person,188.32,539.88,159.64,220.18
43,3,person,609.26,361.05,82.86,218.22
43,6,person,1131.64,368.72,108.02,346.28
44,1,person,188.2,539.78,160.22,222.01
44,3,person,608.85,360.91,82.25,217.41
44,6,person,1131.64,368.56,106.42,345.7
45,1,person,187.81,539.61,160.19,222.69
45,3,person,608.87,357.1,83.78,222.2
45,6,person,1131.04,368.71,105.41,344.95
46,1,person,187.46,539.4,160.02,223.04
46,3,person,608.36,355.72,84.23,223.8
46,6,person,1130.32,369.25,104.66,343.77
47,1,person,187.08,539.48,159.94,223.62
47,3,person,607.2,355.58,84.54,225.12
47,6,person,1130.25,368.64,104.6,344.5
48,1,person,186.5,539.7,160.21,224.48
48,3,person,606.75,353.76,85.11,227.47
48,6,person,1130.62,368.31,104.9,346.19
49,1,person,185.77,540.91,161.65,227.56
49,3,person,605.38,357.26,82.98,221.91
49,6,person,1130.63,368.11,105.25,348.37
50,1,person,187.18,539.84,159.89,225.53
50,3,person,604.99,360.1,80.79,215.58
50,6,person,1130.6,368.49,105.72,350.17
51,1,person,188.83,539.68,159.5,225.64
51,3,person,604.77,363.6,79.07,209.93
51,6,person,1131.08,368.05,105.87,351.62
52,1,person,189.44,539.72,159.45,226.31
52,3,person,606.28,357.42,83.7,222.85
52,6,person,1131.21,365.86,106.91,356.62
53,1,person,188.51,539.01,158.46,225.23
53,3,person,605.11,359.65,82.18,218.61
54,1,person,187.87,538.54,157.91,224.39
54,3,person,604.68,363.04,79.92,211.76
55,1,person,187.5,538.12,157.91,224.47
55,3,person,604.28,362.3,79.94,211.41
56,1,person,187.41,537.83,157.51,223.97
56,3,person,604.04,361.05,81.0,214.09
57,1,person,187.19,537.75,157.24,223.38
57,3,person,604.32,359.39,82.26,216.92
57,14,person,719.14,357.12,65.51,159.36
58,1,person,185.72,538.35,158.07,224.57
58,3,person,605.34,352.83,86.54,229.59
58,14,person,724.14,366.95,72.71,177.51
59,1,person,185.0,538.59,158.2,224.76
59,3,person,604.53,357.31,83.44,221.51
59,14,person,732.06,368.02,73.26,178.86
60,1,person,184.79,538.58,158.0,224.41
60,3,person,603.7,360.0,81.56,216.56
60,14,person,738.53,376.78,71.03,171.84
61,1,person,184.38,538.83,157.94,224.33
61,3,person,603.85,355.81,83.31,222.01
62,1,person,184.25,539.36,158.51,225.09
62,3,person,604.29,356.54,82.45,220.21
62,16,person,775.94,337.67,145.55,234.72
63,1,person,183.63,538.84,158.37,224.61
63,3,person,602.56,360.15,78.63,208.62
63,16,person,790.27,332.72,140.86,228.25
64,1,person,183.08,538.69,159.16,225.56
64,3,person,602.45,362.28,77.7,205.54
64,16,person,795.28,332.4,137.0,223.62
65,1,person,182.88,538.53,159.58,225.91
65,3,person,602.79,362.21,78.1,205.68
65,16,person,797.8,332.05,135.13,222.93
66,1,person,182.75,538.27,159.54,225.61
66,3,person,602.14,362.94,77.57,203.68
66,16,person,798.99,330.32,134.76,225.42
67,1,person,182.91,538.21,159.64,225.5
67,3,person,602.02,362.08,78.32,205.37
67,16,person,798.33,329.92,132.56,225.0
68,1,person,183.59,538.79,159.45,225.01
68,3,person,603.11,358.81,80.99,212.67
68,16,person,798.64,330.85,130.54,224.71
69,1,person,183.92,539.02,159.44,224.84
69,3,person,604.04,357.14,81.66,215.13
69,16,person,797.41,331.42,127.9,223.65
70,1,person,184.08,539.28,159.95,225.42
70,3,person,603.49,359.59,80.49,211.99
70,16,person,796.2,331.91,125.76,223.13
71,1,person,183.47,538.21,159.87,225.31
71,3,person,603.31,360.98,79.4,208.95
71,16,person,794.37,329.28,126.21,226.98
72,1,person,182.99,537.68,159.81,224.86
72,3,person,602.53,362.32,79.09,207.79
72,16,person,789.88,330.57,124.28,224.95
73,1,person,183.03,536.92,159.48,223.87
73,3,person,601.72,360.26,78.88,206.9
73,16,person,789.89,330.15,123.32,225.36
74,1,person,183.22,537.24,160.05,224.51
74,3,person,602.73,357.2,81.33,212.7
74,16,person,791.6,330.48,120.94,223.87
75,1,person,183.45,537.21,160.37,224.74
75,3,person,602.63,357.76,80.36,210.46
75,16,person,790.35,330.47,120.52,224.78
76,1,person,182.6,536.76,160.41,224.41
76,3,person,601.79,359.23,79.0,206.74
76,16,person,789.96,331.87,118.37,222.02
77,1,person,181.32,535.93,161.47,225.25
77,3,person,602.13,353.88,81.94,214.9
77,16,person,794.89,331.97,115.56,219.28
78,1,person,180.78,535.63,161.53,224.65
78,3,person,602.21,351.79,83.29,218.87
78,16,person,799.3,329.64,116.38,226.22
79,1,person,180.95,535.78,161.85,224.64
79,3,person,602.26,356.17,80.22,210.16
