frame,object_id,class,x,y,width,height
0,1,person,899.1,426.23,142.93,261.78
0,2,person,1029.9,246.49,77.05,160.33
1,1,person,897.02,428.48,140.07,256.33
1,2,person,1028.28,249.65,79.65,165.81
2,1,person,895.41,430.62,138.23,252.55
3,1,person,894.97,430.78,138.32,252.14
4,1,person,895.39,429.07,138.27,251.33
5,1,person,895.81,427.76,138.85,251.46
6,1,person,898.17,427.08,138.88,250.86
7,1,person,898.62,427.23,139.68,251.37
8,1,person,898.79,427.03,140.54,251.48
9,1,person,900.42,426.98,139.69,248.47
9,2,person,1036.01,256.07,74.84,157.36
10,1,person,901.04,424.91,140.97,248.83
10,2,person,1040.02,242.56,79.49,167.89
11,1,person,902.09,423.09,143.14,250.59
11,2,person,1043.23,237.98,79.57,168.89
12,1,person,904.22,421.06,146.89,255.2
12,2,person,1044.86,238.65,87.1,185.77
12,3,person,1169.61,260.32,195.43,310.12
13,1,person,905.06,420.35,148.95,256.7
13,2,person,1046.2,241.98,86.95,185.89
13,3,person,1172.53,260.19,194.84,308.68
14,1,person,905.41,419.17,151.02,258.36
14,2,person,1048.29,243.01,88.38,189.81
14,3,person,1176.2,258.74,199.64,316.1
15,1,person,908.62,417.72,152.43,260.13
15,2,person,1049.09,242.37,88.21,190.34
16,1,person,912.62,417.62,153.88,262.62
16,2,person,1050.67,241.69,87.79,190.88
16,3,person,1179.44,253.31,201.12,320.89
17,1,person,914.47,417.73,155.77,265.26
17,2,person,1058.62,239.7,91.94,198.03
17,3,person,1179.91,252.17,200.18,322.79
18,1,person,915.86,419.61,154.64,261.5
18,2,person,1059.43,238.64,92.42,198.21
18,3,person,1180.35,252.79,199.3,322.87
19,1,person,918.12,419.85,156.11,263.23
19,2,person,1072.08,234.6,97.77,202.7
19,3,person,1181.16,253.43,197.68,318.57
20,1,person,920.73,424.16,158.47,266.88
20,3,person,1180.48,249.95,199.05,323.63
21,1,person,920.47,429.56,160.19,269.97
21,3,person,1180.42,250.97,199.16,327.33
22,1,person,918.7,433.26,161.51,271.39
22,3,person,1182.24,255.78,195.52,319.14
23,1,person,916.1,436.78,165.17,274.42
23,3,person,1182.95,255.53,194.1,317.6
24,1,person,914.12,438.31,165.82,271.22
24,3,person,1183.93,256.28,192.14,314.37
25,1,person,912.14,439.36,164.79,264.9
25,3,person,1185.04,254.59,189.92,313.77
26,1,person,911.81,441.37,165.98,261.84
26,3,person,1184.4,252.68,191.19,318.29
27,1,person,910.28,443.47,164.42,253.34
27,3,person,1184.48,252.04,191.03,319.05
28,1,person,911.03,443.31,164.66,247.41
29,1,person,912.48,440.8,167.88,246.25
29,3,person,1185.28,250.58,189.45,317.45
30,1,person,912.22,437.95,167.76,239.64
30,3,person,1182.54,242.66,194.92,349.03
31,1,person,912.24,437.12,170.79,237.91
31,3,person,1182.57,242.84,194.85,357.14
32,1,person,916.74,438.14,176.3,238.99
32,3,person,1182.7,236.49,194.59,369.61
33,1,person,920.2,438.36,181.25,237.92
34,1,person,924.41,438.87,188.86,240.94
35,1,person,926.52,439.67,192.91,239.32
36,1,person,929.75,439.92,197.05,237.91
37,1,person,934.87,439.24,204.74,238.74
37,3,person,1189.04,240.34,181.92,318.37
38,1,person,937.07,436.23,209.82,236.29
38,3,person,1189.83,237.45,180.35,318.28
39,1,person,941.57,433.49,214.75,233.85
39,3,person,1190.28,238.14,179.43,318.75
40,1,person,945.21,432.38,217.64,228.43
40,3,person,1189.07,238.69,180.53,314.71
41,1,person,947.75,431.92,223.23,227.06
41,3,person,1188.97,239.18,180.14,313.74
42,1,person,948.95,432.41,227.56,224.75
42,3,person,1189.42,232.91,181.15,319.95
43,1,person,950.45,437.08,230.41,220.62
43,3,person,1189.07,231.92,181.86,325.72
44,1,person,953.69,446.3,223.6,205.34
44,3,person,1181.36,232.76,188.05,327.2
45,1,person,955.96,440.49,226.95,201.89
45,3,person,1179.26,237.78,184.86,317.58
46,3,person,1179.3,240.84,186.36,317.61
47,3,person,1179.23,240.88,191.15,324.46
49,13,person,920.65,488.48,205.63,163.16
50,13,person,917.85,491.56,200.61,159.2
51,13,person,911.84,496.92,192.27,152.71
52,13,person,910.25,502.73,182.79,145.3
53,13,person,917.03,506.24,186.69,148.14
60,16,person,1149.44,344.55,261.12,447.27
61,16,person,1148.94,343.18,262.12,456.08
62,16,person,1149.16,343.33,261.69,463.79
63,16,person,1150.3,345.61,259.41,450.0
64,16,person,1154.08,345.09,251.84,442.57
65,16,person,1153.25,341.4,253.49,452.33
66,16,person,1154.15,342.23,251.7,454.28
70,16,person,1162.07,359.56,235.86,418.36
71,16,person,1163.76,363.83,232.49,408.41
72,16,person,1162.33,364.0,235.35,412.16
73,16,person,1136.03,367.98,247.91,418.71
74,16,person,1154.85,363.71,243.24,413.31
75,16,person,1159.68,361.56,240.65,413.74
76,16,person,1160.21,353.73,239.59,423.07
77,16,person,1157.18,350.23,245.63,428.55
78,16,person,1138.5,351.91,260.68,441.99
79,16,person,1128.89,353.38,274.79,460.77
80,16,person,1147.76,348.05,264.48,457.98
81,16,person,1152.85,342.44,254.29,457.25
82,16,person,1151.26,341.91,257.47,453.76
83,16,person,1148.74,348.9,262.52,455.5
84,16,person,1146.2,352.82,267.61,461.06
85,16,person,1168.21,312.98,223.59,385.69
86,16,person,1172.54,290.5,208.25,356.98
115,20,person,910.84,428.74,117.48,299.46
116,20,person,909.3,422.06,122.35,311.58
117,20,person,905.69,420.2,123.61,313.65
118,20,person,897.25,428.37,117.7,297.8
119,20,person,886.07,433.78,110.84,280.49
120,20,person,880.2,434.48,108.29,274.75
121,20,person,876.66,429.78,103.32,261.32
122,20,person,875.64,424.45,100.0,251.82
123,20,person,872.38,418.08,97.65,245.18
124,20,person,867.56,412.48,96.59,241.62
125,20,person,861.8,410.53,96.58,242.06
126,20,person,858.28,410.0,96.28,241.67
127,20,person,854.8,409.25,95.79,240.22
128,20,person,853.02,411.16,97.15,243.44
129,20,person,851.13,413.43,97.8,244.08
130,20,person,848.96,414.82,98.3,244.17
131,20,person,847.33,415.97,99.43,247.34
132,20,person,845.03,420.23,103.06,257.67
132,23,person,920.84,291.68,80.11,160.75
132,24,person,845.33,379.19,92.09,181.5
133,20,person,841.95,417.77,102.22,254.45
133,23,person,916.59,289.64,80.17,161.21
134,20,person,835.63,412.87,101.23,251.53
134,23,person,912.07,289.34,80.14,161.72
135,20,person,831.32,407.83,99.78,245.83
135,23,person,909.81,288.8,80.4,162.74
135,24,person,834.3,367.28,83.69,164.28
136,20,person,827.14,398.71,95.61,229.77
136,23,person,906.81,287.55,80.44,162.69
137,20,person,822.21,394.46,95.86,225.37
138,20,person,820.16,394.55,97.43,224.17
139,20,person,818.79,396.74,101.51,227.92
140,20,person,814.69,400.6,108.6,235.75
141,20,person,813.49,403.9,113.69,240.51
142,20,person,812.87,406.45,117.09,243.47
143,20,person,813.15,407.31,118.14,243.08
144,20,person,815.0,406.73,115.85,236.99
145,20,person,814.95,406.84,115.76,235.66
146,20,person,812.86,407.18,116.71,235.91
147,20,person,814.75,406.43,115.07,231.15
148,20,person,816.78,407.43,116.03,232.35
149,20,person,817.51,407.29,117.06,234.34
149,27,person,936.28,281.3,96.94,157.82
150,20,person,817.47,406.63,117.68,235.88
150,27,person,937.86,281.47,97.28,158.59
151,20,person,816.85,404.62,121.53,243.83
151,27,person,939.41,281.98,99.59,162.82
152,20,person,815.72,405.17,120.76,243.05
152,27,person,939.5,283.1,100.3,164.7
153,20,person,814.37,407.96,120.51,243.52
153,27,person,939.1,285.54,99.3,163.78
154,20,person,811.65,408.63,119.86,242.55
154,27,person,937.89,286.13,98.69,163.82
155,20,person,808.24,409.27,118.88,240.77
155,27,person,937.13,285.38,97.93,164.01
156,20,person,804.33,408.9,118.18,240.53
156,27,person,935.45,283.8,96.49,163.13
157,20,person,801.12,408.0,116.74,238.6
157,27,person,935.63,282.69,94.75,160.43
158,20,person,799.02,407.72,115.13,236.06
158,27,person,934.91,282.13,94.2,159.32
158,31,person,952.08,280.41,57.03,154.1
159,20,person,797.77,408.18,112.73,231.11
159,27,person,933.75,282.68,94.42,159.91
159,31,person,949.17,280.21,57.65,155.54
160,20,person,796.57,411.64,115.05,237.13
160,27,person,932.94,282.53,95.67,161.82
161,20,person,796.21,410.9,116.26,240.77
161,27,person,934.28,279.66,96.11,162.98
162,20,person,794.49,408.19,114.3,237.02
162,27,person,936.96,276.69,95.96,164.35
163,20,person,794.12,406.82,114.64,236.87
164,20,person,792.61,406.41,114.64,235.96
164,27,person,946.61,273.77,97.6,166.79
165,20,person,792.73,405.43,115.26,236.49
165,27,person,949.88,273.2,98.22,168.39
166,20,person,794.0,404.18,115.88,237.08
167,20,person,795.16,404.27,114.87,235.97
167,27,person,951.21,273.84,96.42,167.77
168,20,person,796.14,404.69,113.94,234.7
168,27,person,952.33,274.98,94.98,167.87
169,20,person,797.11,405.18,113.53,234.47
169,27,person,953.6,275.58,93.25,166.86
170,20,person,797.13,405.29,113.39,235.12
170,27,person,955.1,275.02,92.47,167.16
171,20,person,798.04,404.54,113.8,236.05
172,20,person,800.27,403.68,114.86,238.67
173,20,person,802.23,402.73,115.49,240.26
174,20,person,803.09,401.24,115.95,240.84
175,20,person,804.32,400.08,116.49,241.3
176,20,person,806.04,396.0,119.64,248.12
177,20,person,806.95,393.25,121.23,251.69
178,20,person,806.44,391.89,122.16,254.2
179,20,person,805.14,393.15,121.52,252.59
180,20,person,804.25,392.65,121.57,252.22
181,20,person,804.97,393.26,120.54,248.99
182,20,person,805.08,394.83,119.72,246.73
183,20,person,805.97,396.97,119.05,244.78
184,20,person,806.82,398.79,118.84,244.17
185,20,person,804.53,403.46,121.29,249.98
186,20,person,803.09,405.98,119.47,246.31
187,20,person,801.9,407.53,119.01,245.34
188,20,person,800.15,408.0,118.71,242.29
189,20,person,799.66,410.71,118.86,241.24
190,20,person,798.77,410.6,117.98,237.84
191,20,person,801.1,410.29,118.69,238.62
192,20,person,802.7,409.98,119.09,239.82
193,20,person,803.92,409.87,118.64,239.05
194,20,person,804.02,410.0,118.0,237.63
195,20,person,803.64,409.03,117.61,235.2
196,20,person,802.71,407.57,117.45,233.47
197,20,person,803.32,406.47,116.93,231.58
198,20,person,804.67,408.19,118.66,236.14
199,20,person,806.28,409.22,118.1,235.2
200,20,person,806.87,409.1,117.76,234.74
201,20,person,806.02,408.47,117.78,236.19
201,27,person,985.27,288.65,95.89,165.79
202,20,person,806.25,409.96,118.37,237.58
202,27,person,986.9,289.12,97.13,163.47
203,20,person,805.35,410.07,117.12,233.7
203,27,person,985.2,291.89,96.02,162.41
204,20,person,804.53,409.93,117.56,233.2
205,20,person,805.99,409.81,118.11,234.48
206,20,person,808.62,406.88,116.48,230.46
207,20,person,811.55,406.22,115.44,228.94
208,20,person,812.73,406.57,115.3,230.13
209,20,person,813.9,405.3,114.84,229.87
209,27,person,989.87,281.95,99.39,175.11
210,20,person,814.93,402.93,116.82,234.06
210,27,person,989.4,278.52,97.47,177.91
211,20,person,813.67,402.57,117.48,236.24
211,27,person,989.94,276.12,95.63,178.81
212,20,person,811.49,402.41,117.56,237.01
212,27,person,988.59,275.47,93.66,176.67
213,20,person,809.87,402.49,117.75,237.97
213,27,person,988.95,275.61,92.46,175.0
214,20,person,809.67,402.38,117.34,238.37
214,27,person,988.39,275.06,91.43,173.84
215,20,person,810.54,402.11,117.04,238.8
216,20,person,812.49,402.75,117.09,239.41
216,27,person,993.76,274.67,93.41,174.62
217,20,person,814.58,403.45,117.28,239.49
218,20,person,815.73,401.71,117.77,240.14
219,20,person,817.85,401.7,117.02,237.81
220,20,person,819.91,401.65,117.24,237.37
221,20,person,821.26,402.91,117.11,236.0
222,20,person,821.43,404.1,116.88,234.86
223,20,person,821.59,405.12,116.64,234.11
224,20,person,821.53,403.2,117.97,238.02
