frame,object_id,class,x,y,width,height
0,1387,person,670.38,298.99,91.55,162.82
1,1387,person,674.33,298.54,76.44,132.7
1,1606,person,381.33,396.85,80.77,226.67
1,1607,person,744.74,313.52,59.67,171.42
1,1608,person,468.69,364.13,71.88,211.16
2,1387,person,678.57,299.49,71.14,122.43
2,1606,person,381.6,397.1,81.06,227.4
2,1607,person,743.5,311.7,58.93,169.36
2,1608,person,469.86,364.06,71.79,211.02
3,1387,person,681.92,300.83,71.66,122.89
3,1606,person,381.43,396.88,81.23,227.7
3,1607,person,743.68,311.94,59.61,171.77
3,1608,person,470.83,364.19,71.72,210.76
4,1387,person,684.62,301.0,71.54,123.34
4,1606,person,381.44,396.68,81.35,227.86
4,1607,person,743.06,312.28,59.8,172.91
4,1608,person,471.9,364.59,71.89,211.22
5,1387,person,685.05,300.69,71.49,124.52
5,1606,person,381.57,396.4,81.33,227.64
5,1607,person,741.69,312.46,60.44,175.24
5,1608,person,472.36,364.5,71.94,211.37
6,1387,person,686.2,301.44,70.77,124.82
6,1606,person,380.95,396.83,81.54,227.79
6,1607,person,741.31,312.4,60.34,175.4
6,1608,person,472.35,363.84,72.28,212.54
7,1387,person,686.54,301.54,69.65,124.53
7,1606,person,381.58,396.24,81.39,227.46
7,1607,person,740.74,311.52,59.81,174.07
7,1608,person,471.63,362.75,71.64,211.16
8,1387,person,687.36,301.67,68.7,124.85
8,1606,person,380.72,396.25,81.63,227.5
8,1607,person,740.65,311.7,59.5,172.97
8,1608,person,470.39,362.35,71.5,211.44
9,1387,person,688.97,301.56,68.7,126.87
9,1606,person,380.62,396.24,81.83,227.43
9,1607,person,739.53,312.66,60.03,173.72
9,1608,person,469.22,362.07,71.6,212.89
10,1387,person,690.43,300.61,67.69,125.68
10,1606,person,380.41,396.27,82.15,227.57
10,1607,person,740.11,314.51,61.07,176.85
10,1608,person,467.61,361.26,71.45,214.79
11,1387,person,692.37,299.67,67.73,125.66
11,1606,person,379.94,395.62,81.96,226.72
11,1607,person,740.9,315.91,61.72,179.35
11,1608,person,466.98,361.1,71.18,215.92
12,1387,person,709.7,314.11,92.62,171.61
12,1606,person,379.63,395.41,82.18,226.38
12,1607,person,739.78,317.19,64.37,187.07
12,1608,person,466.77,361.42,71.71,219.41
13,1387,person,715.44,318.32,100.34,185.13
13,1606,person,378.77,395.47,82.65,226.28
13,1607,person,740.43,316.86,64.22,187.41
13,1608,person,467.78,362.42,71.2,217.8
14,1387,person,717.22,321.79,104.97,192.65
14,1606,person,378.68,395.6,83.06,226.34
14,1607,person,740.89,318.74,64.53,188.94
14,1608,person,468.0,363.85,71.23,217.77
15,1387,person,729.06,321.68,101.51,190.95
15,1606,person,378.5,395.95,83.53,226.19
15,1607,person,743.84,318.98,63.61,188.38
15,1608,person,468.75,363.06,71.43,218.44
16,1387,person,727.94,319.89,99.34,186.53
16,1606,person,378.2,396.2,84.13,225.92
16,1607,person,745.59,318.92,62.27,186.48
16,1608,person,469.5,362.31,71.28,217.87
17,1387,person,723.07,321.77,101.62,188.21
17,1606,person,378.57,396.41,84.76,225.77
17,1607,person,744.88,319.26,61.65,184.2
17,1608,person,471.22,361.42,71.04,217.12
18,1387,person,721.25,320.37,100.22,181.84
18,1606,person,378.09,396.06,85.47,226.14
18,1608,person,472.64,361.2,70.76,216.09
19,1606,person,378.17,395.77,85.68,225.89
19,1608,person,473.46,355.97,67.7,205.15
19,1607,person,750.52,319.66,58.72,178.37
20,1606,person,377.95,395.65,85.98,225.53
20,1608,person,476.3,344.01,61.81,182.15
20,1607,person,751.3,319.68,57.27,175.91
20,1387,person,703.08,305.39,77.04,139.47
21,1606,person,377.86,395.81,86.5,225.78
21,1608,person,480.61,335.6,57.26,161.14
21,1607,person,751.95,320.23,56.52,175.41
21,1387,person,698.37,301.54,71.04,128.26
22,1606,person,378.6,395.75,86.96,225.89
22,1608,person,484.36,330.36,55.26,149.09
22,1607,person,752.64,319.91,55.53,174.15
22,1387,person,697.7,300.79,69.11,124.61
22,1616,person,505.63,301.97,123.59,205.31
23,1606,person,379.49,395.89,87.39,226.08
23,1608,person,481.01,330.6,54.99,147.7
23,1607,person,754.02,317.93,53.36,169.39
23,1387,person,697.81,300.18,68.48,122.82
24,1606,person,380.45,395.83,87.45,225.88
24,1608,person,482.5,327.48,56.75,150.09
24,1607,person,753.51,319.95,54.31,173.65
24,1387,person,697.37,299.32,68.79,123.39
25,1606,person,381.15,396.19,87.72,226.61
25,1608,person,482.85,326.05,58.47,152.69
25,1607,person,752.28,322.38,56.02,179.72
25,1387,person,697.5,299.2,69.29,124.49
26,1606,person,382.08,396.54,87.69,227.12
26,1608,person,482.8,325.76,59.5,153.73
26,1607,person,751.88,322.92,56.54,181.44
26,1387,person,697.87,299.25,69.57,125.3
27,1606,person,383.19,396.67,87.45,227.17
27,1608,person,482.45,327.65,59.1,151.27
27,1607,person,750.54,322.24,56.33,179.7
27,1387,person,698.79,299.48,72.54,131.37
28,1606,person,383.4,396.83,87.31,227.57
28,1608,person,481.9,328.61,58.96,150.07
28,1607,person,750.3,321.96,56.52,179.51
28,1387,person,699.3,299.27,73.21,133.42
29,1606,person,382.77,397.04,87.22,227.33
29,1608,person,481.19,328.5,59.03,149.52
29,1607,person,750.2,322.56,56.95,180.15
29,1387,person,699.29,299.1,73.06,133.82
30,1606,person,382.21,396.59,86.91,226.96
30,1608,person,480.68,328.19,59.39,149.82
30,1607,person,751.22,320.89,56.36,177.99
30,1387,person,699.29,298.21,71.5,131.32
31,1606,person,380.53,396.38,87.2,226.78
31,1608,person,479.68,327.98,59.67,150.23
31,1607,person,750.75,320.22,56.62,177.54
31,1387,person,699.31,298.06,70.46,129.65
32,1606,person,379.31,396.3,87.76,226.58
32,1608,person,479.32,327.66,59.5,149.78
32,1607,person,751.82,320.61,57.0,178.28
32,1387,person,698.61,299.42,68.9,126.73
33,1606,person,378.69,396.41,88.48,226.78
33,1608,person,478.44,328.08,59.53,149.74
33,1607,person,752.93,320.25,57.06,177.79
33,1387,person,698.84,299.12,68.94,126.87
34,1606,person,378.7,396.7,89.11,226.98
34,1608,person,477.51,328.23,59.64,149.63
34,1607,person,753.42,320.49,57.74,179.21
34,1387,person,699.39,299.08,69.03,127.22
35,1606,person,378.85,396.87,89.37,226.74
35,1608,person,475.81,330.78,60.07,150.0
35,1607,person,753.82,320.36,58.09,179.42
35,1387,person,699.64,298.82,69.42,128.02
36,1606,person,379.9,397.41,89.4,225.8
36,1608,person,474.78,332.01,60.26,150.17
36,1607,person,753.73,320.19,58.24,178.61
36,1387,person,699.56,299.09,69.44,127.99
37,1606,person,379.94,397.55,89.6,225.17
37,1608,person,474.43,330.35,60.53,150.48
37,1607,person,753.74,319.81,58.69,178.51
37,1387,person,699.41,298.78,69.39,127.96
38,1606,person,378.92,397.12,90.39,225.8
38,1608,person,473.5,330.34,61.41,152.6
38,1607,person,753.56,320.13,59.52,179.67
38,1387,person,699.17,298.81,69.5,128.46
39,1606,person,378.2,397.16,90.97,226.1
39,1608,person,471.17,332.27,62.03,154.86
39,1607,person,754.04,320.38,60.06,180.72
39,1387,person,699.6,298.89,69.55,128.58
40,1606,person,378.26,397.5,91.05,226.0
40,1608,person,471.25,343.62,70.16,178.65
40,1607,person,754.28,319.29,59.58,178.72
40,1387,person,700.27,299.25,69.24,128.19
41,1606,person,378.04,397.43,90.83,225.63
41,1608,person,470.99,352.25,75.51,196.85
41,1607,person,754.33,319.03,59.56,178.37
41,1387,person,700.55,299.15,68.71,127.5
41,1623,person,756.95,300.2,51.4,138.16
42,1606,person,378.74,397.55,90.32,225.2
42,1608,person,470.62,357.28,77.86,207.64
42,1607,person,754.8,319.24,59.8,179.32
42,1387,person,700.65,299.09,68.47,127.32
43,1606,person,378.51,397.54,90.14,225.1
43,1608,person,469.95,359.61,78.6,214.37
43,1607,person,754.48,318.96,59.74,179.43
43,1387,person,700.51,299.33,68.83,127.91
44,1606,person,376.95,397.74,90.5,225.3
44,1608,person,469.53,360.69,77.7,216.13
44,1607,person,752.75,318.95,60.19,179.92
44,1387,person,700.3,299.17,68.8,127.93
45,1606,person,376.59,397.75,90.63,225.22
45,1608,person,468.85,360.8,76.17,216.17
45,1607,person,752.42,318.93,59.49,177.73
45,1387,person,699.46,299.3,68.74,128.36
46,1606,person,376.23,397.55,90.89,225.42
46,1608,person,468.64,360.16,74.48,215.03
46,1607,person,753.07,317.52,57.94,173.34
46,1387,person,698.79,299.09,68.39,128.61
47,1606,person,376.37,397.58,90.97,225.4
47,1608,person,469.24,361.25,72.51,211.62
47,1607,person,754.27,313.43,54.56,163.3
47,1387,person,698.63,299.69,67.2,126.7
48,1606,person,375.74,397.44,90.75,224.68
48,1608,person,470.67,362.06,71.53,209.13
48,1607,person,754.8,313.88,54.28,162.79
48,1387,person,698.07,301.27,66.14,125.22
49,1606,person,374.52,397.06,90.88,224.45
49,1608,person,471.71,362.23,70.72,206.65
49,1607,person,754.56,317.38,56.07,168.8
49,1387,person,696.78,301.95,64.98,123.21
50,1606,person,374.65,396.94,90.86,224.14
50,1608,person,472.96,361.91,69.86,205.26
50,1607,person,735.27,317.41,61.37,166.95
50,1625,person,473.35,333.56,69.43,143.82
51,1606,person,375.87,397.03,90.64,223.86
51,1608,person,473.46,362.31,68.81,204.05
51,1607,person,730.49,316.75,65.03,163.85
51,1625,person,473.8,331.86,66.76,138.43
51,1387,person,712.53,307.22,74.41,134.17
52,1606,person,375.99,397.06,90.66,223.88
52,1608,person,473.15,361.25,67.56,202.23
52,1625,person,472.87,331.99,66.84,138.99
52,1387,person,720.63,312.92,86.18,149.39
53,1606,person,375.96,397.02,90.49,223.64
53,1608,person,472.85,361.65,67.42,204.23
53,1625,person,472.19,331.65,66.31,138.5
53,1387,person,725.07,316.45,94.43,160.48
54,1606,person,377.37,397.38,90.06,223.83
54,1608,person,472.4,363.47,66.4,203.88
54,1625,person,471.84,332.56,64.14,134.71
54,1387,person,738.46,319.35,96.62,167.74
55,1606,person,377.07,397.22,89.67,223.91
55,1608,person,471.89,363.68,66.02,205.24
55,1625,person,471.21,334.72,65.83,139.19
55,1387,person,749.42,320.0,94.43,169.46
55,1607,person,697.21,307.65,56.24,135.12
56,1606,person,376.05,396.89,89.58,224.4
56,1608,person,471.46,363.39,66.13,207.34
56,1625,person,470.56,335.45,67.37,143.36
56,1387,person,754.23,322.09,93.55,173.36
56,1607,person,693.1,303.32,56.34,129.69
57,1606,person,376.15,396.87,89.36,224.69
57,1608,person,471.46,363.21,66.36,208.51
57,1387,person,755.97,322.7,89.74,170.75
57,1607,person,692.51,300.19,56.92,126.47
58,1606,person,376.46,397.05,89.01,224.92
58,1608,person,471.67,362.74,66.9,210.61
58,1387,person,757.7,324.52,86.69,168.04
58,1607,person,682.95,299.18,59.06,124.84
58,1625,person,471.96,334.94,69.25,147.94
59,1606,person,375.79,396.84,88.92,225.23
59,1608,person,471.36,363.26,67.49,212.98
59,1387,person,762.13,332.32,90.6,180.04
59,1607,person,676.91,297.77,61.39,124.69
60,1606,person,373.57,396.43,89.24,225.32
60,1608,person,471.26,363.49,66.78,210.88
60,1387,person,766.49,335.51,90.28,183.72
60,1607,person,669.53,298.22,63.21,123.24
61,1606,person,371.53,396.13,89.56,225.26
61,1608,person,471.42,362.71,66.13,208.63
61,1387,person,769.8,336.13,89.98,186.87
61,1607,person,664.85,297.91,65.43,123.03
62,1606,person,370.39,396.02,89.99,225.3
62,1608,person,470.97,363.21,65.92,207.82
62,1387,person,770.17,335.65,90.51,188.89
62,1607,person,661.85,296.86,67.5,123.6
62,1623,person,774.3,313.31,58.67,147.59
63,1606,person,370.33,395.98,90.2,225.05
63,1608,person,470.42,363.14,66.11,208.69
63,1387,person,774.06,334.79,90.51,190.91
63,1607,person,661.46,297.4,68.7,123.42
63,1623,person,776.05,307.91,59.63,139.98
64,1606,person,370.22,395.87,90.53,224.96
64,1608,person,469.92,363.3,65.53,207.51
64,1387,person,775.95,333.75,90.86,192.54
64,1607,person,661.8,297.44,69.21,122.43
64,1623,person,777.68,301.79,59.98,131.35
65,1606,person,370.14,395.69,90.9,224.77
65,1608,person,468.54,364.74,64.62,205.54
65,1387,person,777.04,333.91,91.15,193.94
65,1607,person,661.88,298.58,69.81,122.1
66,1606,person,370.05,395.63,91.44,224.84
66,1608,person,469.52,364.89,64.71,206.87
66,1387,person,777.29,333.04,89.65,191.09
66,1607,person,662.0,299.75,70.89,122.92
66,1623,person,777.77,304.76,65.26,137.26
67,1606,person,370.62,395.67,91.76,224.71
67,1608,person,470.36,365.21,64.91,208.45
67,1387,person,776.5,324.99,84.91,178.71
67,1607,person,661.27,301.28,72.35,124.39
68,1606,person,371.48,395.61,91.96,224.69
68,1608,person,471.41,364.23,64.84,208.48
68,1387,person,773.9,335.07,92.78,195.28
68,1607,person,661.94,301.36,72.76,124.15
69,1606,person,371.85,395.61,92.16,224.48
69,1608,person,472.29,363.67,64.54,207.91
69,1387,person,772.83,340.25,93.68,196.96
69,1607,person,662.1,302.53,73.81,124.95
70,1606,person,372.0,395.51,92.41,224.22
70,1608,person,472.8,363.23,64.48,208.44
70,1607,person,662.19,303.35,74.86,125.86
71,1606,person,372.13,395.66,92.76,224.19
71,1608,person,472.7,363.29,64.28,208.9
71,1607,person,662.36,304.05,76.54,128.02
72,1606,person,372.22,395.77,93.09,224.3
72,1608,person,473.21,363.17,64.35,210.03
73,1606,person,371.54,395.75,93.42,224.58
73,1608,person,473.89,363.09,64.43,211.74
73,1623,person,770.04,301.87,55.63,114.88
74,1606,person,371.06,395.97,93.68,224.9
74,1608,person,472.94,364.43,62.74,208.55
75,1606,person,371.75,396.21,93.53,224.71
75,1608,person,472.72,365.59,61.3,206.07
75,1607,person,659.67,305.01,79.8,132.03
76,1606,person,371.94,396.45,93.53,224.68
76,1608,person,472.29,366.36,60.14,204.68
76,1607,person,659.43,305.51,80.94,133.07
