frame,object_id,class,x,y,width,height,center_x,center_y,area
0,1,person,868.51,180.82,108.94,172.4,868.51,180.82,18780.56
0,2,person,200.98,372.4,224.88,349.89,200.98,372.4,78685.55
1,1,person,875.92,178.42,106.35,168.63,875.92,178.42,17934.19
1,2,person,195.78,373.78,222.97,346.71,195.78,373.78,77304.99
2,1,person,878.76,176.01,104.24,165.71,878.76,176.01,17273.65
2,2,person,200.41,375.05,224.5,349.06,200.41,375.05,78364.29
3,1,person,882.96,167.37,100.53,161.33,882.96,167.37,16219.0
3,2,person,213.57,378.27,222.69,344.76,213.57,378.27,76773.26
4,1,person,887.28,166.19,100.06,161.83,887.28,166.19,16193.34
4,2,person,232.86,375.91,216.76,331.66,232.86,375.91,71891.31
5,1,person,893.24,157.09,89.14,145.15,893.24,157.09,12939.36
5,2,person,261.15,396.78,235.65,358.0,261.15,396.78,84362.13
6,1,person,889.35,154.74,87.73,143.96,889.35,154.74,12629.22
6,2,person,279.46,405.35,239.0,362.06,279.46,405.35,86531.96
7,1,person,889.1,158.75,86.55,141.18,889.1,158.75,12219.72
7,2,person,294.33,411.59,236.92,358.35,294.33,411.59,84899.04
8,1,person,894.73,158.23,80.36,131.44,894.73,158.23,10562.21
8,2,person,311.79,418.29,232.9,350.45,311.79,418.29,81620.38
9,1,person,918.91,158.27,77.5,125.43,918.91,158.27,9720.38
9,2,person,338.01,429.37,225.74,337.61,338.01,429.37,76212.84
10,1,person,927.23,161.95,75.33,123.63,927.23,161.95,9313.2
10,2,person,360.4,446.67,216.51,319.12,360.4,446.67,69091.95
11,1,person,939.41,166.37,74.6,124.26,939.41,166.37,9269.19
11,2,person,387.75,458.69,208.86,301.16,387.75,458.69,62899.82
12,1,person,944.82,168.53,72.32,122.08,944.82,168.53,8829.08
12,2,person,408.06,467.2,203.88,286.22,408.06,467.2,58355.14
13,1,person,947.99,168.94,70.72,121.24,947.99,168.94,8574.64
13,2,person,424.66,474.18,202.71,275.98,424.66,474.18,55942.2
14,2,person,442.0,483.59,191.74,251.03,442.0,483.59,48131.68
15,2,person,460.12,490.23,185.01,232.71,460.12,490.23,43053.7
16,2,person,490.51,498.15,178.04,210.96,490.51,498.15,37559.54
16,1,person,961.34,153.48,62.55,106.37,961.34,153.48,6653.08
17,2,person,537.67,503.1,167.6,187.69,537.67,503.1,31457.01
17,1,person,964.95,149.62,61.48,103.55,964.95,149.62,6366.18
18,2,person,565.18,508.73,162.91,168.56,565.18,508.73,27460.46
18,1,person,967.52,145.11,58.0,97.09,967.52,145.11,5631.02
19,2,person,590.04,516.72,151.61,150.03,590.04,516.72,22745.07
19,1,person,972.63,145.4,57.89,96.83,972.63,145.4,5605.67
20,1,person,976.48,147.69,55.2,93.47,976.48,147.69,5159.83
21,1,person,976.13,149.97,52.19,89.89,976.13,149.97,4691.76
30,19,person,657.76,145.5,84.84,245.65,657.76,145.5,20840.75
31,19,person,657.28,143.22,86.7,251.06,657.28,143.22,21765.53
32,19,person,653.39,141.89,87.33,252.65,653.39,141.89,22063.12
33,19,person,649.43,141.98,90.24,260.72,649.43,141.98,23527.02
34,19,person,646.03,140.77,90.9,261.84,646.03,140.77,23800.71
35,19,person,644.57,140.57,90.66,260.47,644.57,140.57,23612.54
36,19,person,644.05,139.95,90.46,258.92,644.05,139.95,23421.55
37,19,person,644.59,142.76,89.07,253.51,644.59,142.76,22580.1
38,19,person,645.77,145.93,89.79,254.46,645.77,145.93,22848.52
39,19,person,649.36,144.45,90.6,256.05,649.36,144.45,23197.54
40,19,person,656.78,171.72,72.21,194.88,656.78,171.72,14072.1
41,19,person,659.9,183.02,65.91,170.36,659.9,183.02,11228.09
42,19,person,659.59,188.38,65.81,163.92,659.59,188.38,10787.03
43,19,person,663.91,190.48,67.11,162.04,663.91,190.48,10874.91
44,19,person,664.32,171.25,86.23,209.19,664.32,171.25,18037.78
45,19,person,664.64,183.21,79.88,189.83,664.64,183.21,15164.32
46,19,person,665.71,191.11,75.38,175.09,665.71,191.11,13197.86
47,19,person,667.17,195.18,73.46,167.24,667.17,195.18,12285.61
48,19,person,671.35,166.22,95.54,221.34,671.35,166.22,21146.1
49,19,person,675.19,178.54,83.85,189.84,675.19,178.54,15917.56
50,19,person,676.9,183.91,78.46,174.23,676.9,183.91,13670.26
51,19,person,676.08,158.16,101.43,229.37,676.08,158.16,23265.37
52,19,person,677.27,155.74,103.02,235.49,677.27,155.74,24261.7
53,19,person,678.74,164.31,95.6,217.46,678.74,164.31,20789.82
54,19,person,681.15,171.52,89.62,201.11,681.15,171.52,18022.64
55,19,person,683.24,180.71,82.2,180.49,683.24,180.71,14836.58
56,19,person,683.65,178.93,84.59,183.19,683.65,178.93,15495.35
57,19,person,682.37,171.76,91.53,197.77,682.37,171.76,18101.41
58,19,person,679.09,179.1,84.48,178.76,679.09,179.1,15102.5
59,19,person,678.27,176.4,85.53,178.32,678.27,176.4,15251.62
60,19,person,678.64,177.4,85.05,174.28,678.64,177.4,14823.39
61,19,person,675.39,182.04,83.78,169.64,675.39,182.04,14211.97
62,19,person,672.37,184.07,83.82,167.88,672.37,184.07,14071.93
63,19,person,669.71,183.17,84.97,169.55,669.71,183.17,14405.6
64,19,person,669.95,182.36,85.81,170.45,669.95,182.36,14626.06
65,19,person,673.7,161.87,107.23,217.51,673.7,161.87,23323.02
66,19,person,675.33,182.7,94.64,189.77,675.33,182.7,17960.36
67,19,person,675.86,193.17,88.69,175.95,675.86,193.17,15604.94
67,39,person,676.65,158.61,95.87,249.68,676.65,158.61,23937.76
68,19,person,675.37,194.49,87.06,171.85,675.37,194.49,14961.33
69,19,person,676.19,194.89,85.7,167.89,676.19,194.89,14387.89
70,19,person,676.64,193.73,85.58,165.55,676.64,193.73,14167.76
71,19,person,679.3,186.41,89.77,172.76,679.3,186.41,15509.57
72,19,person,681.84,182.92,90.67,172.79,681.84,182.92,15667.17
73,19,person,683.7,181.95,90.75,170.59,683.7,181.95,15480.12
74,19,person,686.72,180.98,89.07,165.91,686.72,180.98,14778.14
75,19,person,689.57,179.98,89.92,165.65,689.57,179.98,14894.79
76,19,person,691.36,181.92,90.27,163.91,691.36,181.92,14796.72
77,19,person,694.03,184.44,91.34,163.54,694.03,184.44,14938.08
78,19,person,696.54,184.58,93.13,163.43,696.54,184.58,15220.58
79,19,person,699.94,182.41,93.28,159.5,699.94,182.41,14878.07
80,19,person,704.37,179.84,92.71,155.02,704.37,179.84,14371.7
87,41,person,691.92,188.39,106.76,155.79,691.92,188.39,16632.62
95,19,person,731.19,165.31,97.35,160.63,731.19,165.31,15637.02
104,19,person,723.38,162.15,89.62,150.45,723.38,162.15,13483.06
105,19,person,723.43,160.4,89.79,152.24,723.43,160.4,13670.36
106,19,person,722.17,161.36,90.36,153.4,722.17,161.36,13861.54
107,19,person,721.92,162.2,90.23,153.32,721.92,162.2,13834.46
108,19,person,719.31,166.92,90.07,153.0,719.31,166.92,13780.95
109,19,person,717.69,169.98,90.35,154.56,717.69,169.98,13965.42
110,19,person,713.78,174.18,88.26,152.43,713.78,174.18,13453.71
111,19,person,713.38,176.18,87.29,151.35,713.38,176.18,13211.0
112,19,person,716.69,176.05,87.4,152.28,716.69,176.05,13309.12
113,19,person,720.19,173.86,87.88,153.86,720.19,173.86,13520.73
114,19,person,719.91,177.72,85.48,150.29,719.91,177.72,12846.73
115,19,person,722.12,181.97,86.7,151.34,722.12,181.97,13120.5
117,19,person,721.36,186.35,88.03,152.34,721.36,186.35,13410.75
118,19,person,722.38,189.94,88.56,151.64,722.38,189.94,13430.07
119,19,person,721.52,192.97,89.77,152.49,721.52,192.97,13688.14
120,19,person,720.47,194.6,89.87,152.03,720.47,194.6,13663.13
121,19,person,718.91,196.41,90.69,154.14,718.91,196.41,13978.86
122,19,person,720.95,196.85,91.34,155.67,720.95,196.85,14217.91
123,19,person,721.26,197.36,90.81,155.56,721.26,197.36,14126.11
124,19,person,722.36,196.19,91.84,158.82,722.36,196.19,14586.7
125,19,person,722.91,196.58,91.86,160.58,722.91,196.58,14750.08
126,19,person,722.94,196.51,91.72,161.63,722.94,196.51,14824.2
127,19,person,722.83,196.26,90.74,160.78,722.83,196.26,14588.3
128,19,person,723.2,195.32,89.87,160.15,723.2,195.32,14392.7
130,19,person,724.12,192.15,87.55,156.13,724.12,192.15,13670.06
131,19,person,724.54,190.67,87.46,156.12,724.54,190.67,13653.95
132,19,person,725.75,190.54,86.9,155.66,725.75,190.54,13527.17
134,19,person,732.49,190.93,85.23,153.22,732.49,190.93,13058.37
135,19,person,734.28,191.49,84.38,152.37,734.28,191.49,12857.0
144,70,person,1145.49,175.6,63.19,109.54,1145.49,175.6,6921.55
145,70,person,1145.0,175.35,62.95,109.14,1145.0,175.35,6869.81
146,70,person,1145.89,174.48,63.2,109.6,1145.89,174.48,6927.06
147,70,person,1146.74,173.38,62.77,108.65,1146.74,173.38,6820.04
148,70,person,1147.55,170.81,62.2,107.16,1147.55,170.81,6665.44
149,70,person,1149.13,170.16,62.0,106.63,1149.13,170.16,6610.7
150,70,person,1151.82,169.42,61.5,105.9,1151.82,169.42,6512.9
151,70,person,1154.53,169.93,60.91,104.79,1154.53,169.93,6382.85
