frame,object_id,class,x,y,width,height,center_x,center_y,area
1,388,person,1098.88,222.7,111.87,305.34,1098.88,222.7,34159.29
1,389,pallet,667.45,409.23,643.34,243.08,667.45,409.23,156383.02
2,388,person,1094.35,222.32,112.3,305.58,1094.35,222.32,34315.49
2,389,pallet,667.64,407.89,645.73,243.94,667.64,407.89,157517.11
3,388,person,1080.28,225.55,114.7,309.16,1080.28,225.55,35460.42
3,389,pallet,664.89,403.04,652.62,246.54,664.89,403.04,160898.41
3,393,carton,715.61,254.77,349.18,226.64,715.61,254.77,79137.5
4,388,person,1071.7,227.82,117.47,312.61,1071.7,227.82,36721.89
4,389,pallet,661.48,401.09,654.21,247.15,661.48,401.09,161686.38
4,393,carton,713.13,252.32,351.89,228.53,713.13,252.32,80418.0
5,388,person,1065.09,229.86,119.45,312.24,1065.09,229.86,37296.78
5,389,pallet,657.98,401.18,656.18,247.95,657.98,401.18,162698.44
5,393,carton,711.47,252.53,351.75,228.65,711.47,252.53,80425.99
6,388,person,1061.35,232.33,123.55,316.56,1061.35,232.33,39109.76
6,389,pallet,654.29,400.32,658.86,249.14,654.29,400.32,164147.05
6,393,carton,708.38,252.42,352.25,229.17,708.38,252.42,80725.38
7,388,person,1059.66,237.66,126.47,317.55,1059.66,237.66,40160.88
7,389,pallet,650.67,400.15,657.99,248.91,650.67,400.15,163776.52
7,393,carton,704.84,251.97,355.18,231.51,704.84,251.97,82227.65
8,388,person,1058.75,238.54,126.85,312.35,1058.75,238.54,39622.93
8,389,pallet,647.54,400.03,652.65,246.94,647.54,400.03,161168.28
8,393,carton,700.38,251.55,348.77,227.37,700.38,251.55,79300.3
9,388,person,1064.68,239.77,125.62,305.74,1064.68,239.77,38407.47
9,389,pallet,644.42,400.25,647.42,244.95,644.42,400.25,158582.95
9,393,carton,696.11,253.32,341.05,221.98,696.11,253.32,75705.7
10,388,person,1069.62,240.36,124.15,298.77,1069.62,240.36,37091.65
10,389,pallet,643.13,401.58,646.16,244.37,643.13,401.58,157906.12
10,393,carton,692.33,254.95,339.78,220.74,692.33,254.95,75003.87
11,388,person,1070.71,241.92,125.88,298.55,1070.71,241.92,37580.1
11,389,pallet,641.31,401.46,640.32,241.71,641.31,401.46,154768.98
11,393,carton,688.04,253.15,340.74,221.6,688.04,253.15,75507.11
12,388,person,1066.76,243.85,129.42,302.0,1066.76,243.85,39085.76
12,389,pallet,635.22,400.67,646.53,244.06,635.22,400.67,157790.42
12,393,carton,683.64,252.95,337.59,219.44,683.64,252.95,74081.55
13,388,person,1063.42,246.38,133.32,307.01,1063.42,246.38,40929.93
13,389,pallet,630.68,399.05,644.8,243.37,630.68,399.05,156925.8
13,393,carton,679.77,251.26,337.28,219.22,679.77,251.26,73940.21
14,388,person,1059.18,244.35,134.65,304.7,1059.18,244.35,41026.44
14,389,pallet,627.55,399.31,637.18,240.32,627.55,399.31,153126.23
14,393,carton,675.87,250.49,334.34,216.94,675.87,250.49,72531.92
15,388,person,1054.94,243.1,137.08,304.15,1054.94,243.1,41694.01
15,389,pallet,623.71,398.55,634.31,238.99,623.71,398.55,151592.94
15,393,carton,671.87,246.03,338.25,219.48,671.87,246.03,74237.35
16,388,person,1048.1,240.64,140.89,304.79,1048.1,240.64,42941.11
16,389,pallet,618.46,397.31,633.08,237.99,618.46,397.31,150665.92
16,393,carton,669.36,239.64,345.86,225.0,669.36,239.64,77817.44
17,388,person,1035.44,245.12,149.94,313.04,1035.44,245.12,46937.98
17,389,pallet,614.77,396.3,636.09,238.91,614.77,396.3,151967.39
17,393,carton,668.83,236.95,347.88,227.06,668.83,236.95,78987.41
18,388,person,1029.22,248.91,158.37,319.96,1029.22,248.91,50671.92
18,389,pallet,617.05,396.6,637.56,239.45,617.05,396.6,152664.17
18,393,carton,671.2,239.9,344.28,225.08,671.2,239.9,77489.24
19,388,person,1019.6,256.37,165.92,321.1,1019.6,256.37,53275.93
19,389,pallet,621.6,397.79,633.8,237.89,621.6,397.79,150772.48
19,393,carton,674.08,244.31,337.5,220.48,674.08,244.31,74411.86
20,388,person,1015.96,259.1,172.55,321.47,1015.96,259.1,55471.18
20,389,pallet,623.21,398.28,632.16,237.06,623.21,398.28,149861.8
20,393,carton,675.22,245.92,335.95,219.39,675.22,245.92,73704.27
21,388,person,1023.3,264.11,172.55,315.12,1023.3,264.11,54374.64
21,393,carton,678.7,247.59,335.3,219.09,678.7,247.59,73460.92
22,388,person,1026.51,265.83,174.11,312.4,1026.51,265.83,54391.38
22,393,carton,680.05,248.43,335.03,219.05,680.05,248.43,73389.92
23,388,person,1024.69,269.82,174.86,311.29,1024.69,269.82,54432.89
23,393,carton,683.67,251.14,336.98,220.68,683.67,251.14,74364.71
24,388,person,1021.24,272.49,176.49,311.0,1021.24,272.49,54888.2
24,393,carton,685.45,253.86,334.79,218.41,685.45,253.86,73121.22
25,388,person,1019.23,270.89,174.58,305.71,1019.23,270.89,53370.18
25,393,carton,687.74,254.11,335.53,218.24,687.74,254.11,73227.93
26,388,person,1018.58,270.05,174.31,303.47,1018.58,270.05,52895.78
26,393,carton,688.57,253.86,338.26,219.63,688.57,253.86,74291.96
27,388,person,1008.07,269.42,175.68,303.9,1008.07,269.42,53390.63
27,393,carton,689.37,252.54,341.67,221.65,689.37,252.54,75730.89
28,388,person,998.35,269.63,176.88,304.89,998.35,269.63,53927.01
28,393,carton,688.9,252.57,344.51,223.52,688.9,252.57,77005.87
29,388,person,992.22,269.86,177.72,305.46,992.22,269.86,54285.35
29,393,carton,689.17,252.59,343.71,223.58,689.17,252.59,76847.22
30,388,person,986.77,271.21,176.65,304.11,986.77,271.21,53721.23
30,393,carton,689.29,250.35,346.71,226.41,689.29,250.35,78499.3
31,388,person,983.71,266.33,169.33,291.87,983.71,266.33,49423.12
31,393,carton,688.19,248.38,342.34,223.83,688.19,248.38,76626.18
32,388,person,980.92,273.99,174.07,305.36,980.92,273.99,53152.75
32,393,carton,687.43,247.48,346.53,227.67,687.43,247.48,78892.95
32,397,person,1248.18,114.91,60.23,154.1,1248.18,114.91,9280.72
33,388,person,974.33,279.76,177.76,316.83,974.33,279.76,56320.02
33,393,carton,686.36,244.3,346.37,228.39,686.36,244.3,79107.2
33,397,person,1247.55,111.98,59.85,152.86,1247.55,111.98,9149.11
34,388,person,968.85,282.25,177.31,321.74,968.85,282.25,57048.55
34,393,carton,684.37,241.73,349.37,231.01,684.37,241.73,80707.98
34,397,person,1247.63,107.7,56.0,142.27,1247.63,107.7,7966.88
35,388,person,961.8,286.51,176.82,327.32,961.8,286.51,57877.71
35,393,carton,682.53,238.73,349.14,231.54,682.53,238.73,80840.91
35,397,person,1235.99,104.31,58.68,145.78,1235.99,104.31,8553.66
36,388,person,957.08,287.61,172.26,325.72,957.08,287.61,56108.32
36,393,carton,681.2,236.5,348.93,232.09,681.2,236.5,80984.45
36,397,person,1228.07,101.19,61.53,147.88,1228.07,101.19,9099.42
37,388,person,950.66,290.11,170.6,328.79,950.66,290.11,56091.39
37,393,carton,680.2,235.61,346.73,231.16,680.2,235.61,80151.12
37,397,person,1219.67,99.5,64.39,147.5,1219.67,99.5,9497.25
38,388,person,945.25,288.91,166.5,326.51,945.25,288.91,54363.61
38,393,carton,679.19,234.69,350.64,234.74,679.19,234.69,82309.71
38,397,person,1214.78,97.04,68.16,147.59,1214.78,97.04,10060.67
39,388,person,938.0,285.75,160.79,317.95,938.0,285.75,51121.76
39,393,carton,677.72,236.81,345.95,231.96,677.72,236.81,80249.27
40,388,person,936.47,284.14,156.95,314.26,936.47,284.14,49321.66
40,393,carton,677.96,236.74,340.96,228.55,677.96,236.74,77926.05
