frame,object_id,class,x,y,width,height,center_x,center_y,area
1,754,person,747.03,357.24,49.71,144.37,747.03,357.24,7175.78
1,755,person,675.9,691.53,39.72,56.94,675.9,691.53,2261.53
1,757,person,34.42,670.83,57.21,96.11,34.42,670.83,5498.49
2,754,person,748.46,360.35,46.32,134.5,748.46,360.35,6229.23
2,755,person,676.94,691.0,40.01,57.31,676.94,691.0,2292.85
2,757,person,35.23,670.64,57.43,96.01,35.23,670.64,5513.81
2,758,person,523.12,388.65,90.3,215.38,523.12,388.65,19447.78
3,754,person,749.6,360.64,46.12,133.85,749.6,360.64,6172.69
3,757,person,35.3,670.2,58.25,96.79,35.3,670.2,5637.48
3,758,person,525.13,387.56,88.82,211.9,525.13,387.56,18821.31
4,757,person,35.11,668.9,60.03,99.15,35.11,668.9,5951.91
4,758,person,521.4,385.34,88.77,212.43,521.4,385.34,18858.3
4,755,person,677.28,689.45,40.9,58.24,677.28,689.45,2382.23
5,757,person,35.22,666.22,63.78,104.93,35.22,666.22,6692.68
5,762,person,436.4,539.31,139.16,100.55,436.4,539.31,13992.77
5,755,person,676.82,688.19,43.34,61.82,676.82,688.19,2679.6
6,757,person,33.9,667.51,62.83,102.94,33.9,667.51,6468.15
6,762,person,435.95,536.1,139.15,100.75,435.95,536.1,14019.53
6,755,person,675.3,687.19,44.48,62.94,675.3,687.19,2799.72
7,757,person,33.81,664.29,66.85,109.62,33.81,664.29,7327.88
7,762,person,433.11,531.76,135.28,98.04,433.11,531.76,13261.89
7,755,person,674.06,684.46,48.13,67.62,674.06,684.46,3254.33
8,757,person,33.83,663.24,67.66,112.17,33.83,663.24,7589.36
8,762,person,426.69,532.27,128.21,93.21,426.69,532.27,11950.48
8,755,person,674.43,682.97,50.15,70.44,674.43,682.97,3532.54
9,757,person,33.58,662.77,67.15,112.89,33.58,662.77,7580.7
9,762,person,420.36,532.82,121.94,88.8,420.36,532.82,10828.31
9,755,person,675.3,683.02,51.52,72.11,675.3,683.02,3715.29
9,767,person,974.96,673.97,32.52,77.87,974.96,673.97,2532.4
10,757,person,33.5,662.71,67.01,113.67,33.5,662.71,7617.11
10,762,person,416.11,534.75,114.52,83.29,416.11,534.75,9538.31
10,755,person,675.6,682.09,51.77,72.75,675.6,682.09,3766.1
10,767,person,975.31,672.12,33.06,79.22,975.31,672.12,2619.12
10,754,person,760.64,347.28,49.52,136.04,760.64,347.28,6736.17
11,755,person,675.62,681.7,52.46,74.3,675.62,681.7,3897.75
11,767,person,975.45,669.71,34.17,81.99,975.45,669.71,2801.23
11,770,carton,578.1,641.14,82.35,115.48,578.1,641.14,9509.94
11,754,person,757.32,350.37,48.75,128.55,757.32,350.37,6267.23
12,755,person,676.76,681.87,52.74,75.25,676.76,681.87,3968.68
12,767,person,975.58,664.47,36.7,88.51,975.58,664.47,3248.42
12,754,person,761.37,348.68,53.54,135.25,761.37,348.68,7241.69
13,754,person,762.66,347.72,57.51,140.53,762.66,347.72,8081.21
13,762,person,401.34,533.64,112.37,81.09,401.34,533.64,9112.11
14,754,person,762.63,347.51,61.02,144.31,762.63,347.51,8806.67
14,755,person,680.04,681.21,54.22,76.97,680.04,681.21,4173.63
15,754,person,763.65,347.33,63.11,145.24,763.65,347.33,9165.82
15,776,person,772.87,348.04,57.72,140.51,772.87,348.04,8110.65
15,762,person,387.65,525.13,125.93,91.98,387.65,525.13,11583.27
16,754,person,762.28,348.17,61.91,141.75,762.28,348.17,8774.99
16,776,person,772.07,348.29,56.6,137.98,772.07,348.29,7809.18
16,762,person,379.06,519.57,136.52,101.94,379.06,519.57,13916.09
17,776,person,772.27,347.37,55.39,135.51,772.27,347.37,7505.28
17,779,person,738.78,367.92,30.6,99.86,738.78,367.92,3055.75
17,757,person,37.18,654.39,74.37,130.61,37.18,654.39,9712.85
17,755,person,680.65,677.9,58.58,83.44,680.65,677.9,4887.71
18,776,person,772.14,346.03,55.01,135.41,772.14,346.03,7448.94
18,779,person,738.66,366.3,30.44,99.17,738.66,366.3,3018.89
18,757,person,36.49,655.45,72.98,128.59,36.49,655.45,9384.4
18,755,person,681.34,676.63,59.94,86.14,681.34,676.63,5162.97
18,762,person,362.72,507.79,153.63,118.88,362.72,507.79,18264.21
19,779,person,739.08,365.14,30.27,98.24,739.08,365.14,2973.89
19,757,person,36.08,655.83,72.15,127.89,36.08,655.83,9227.48
19,755,person,680.35,675.63,61.16,88.16,680.35,675.63,5391.77
19,762,person,356.87,501.18,160.31,128.62,356.87,501.18,20618.29
20,779,person,738.57,365.58,30.13,97.35,738.57,365.58,2933.14
20,757,person,35.73,655.68,71.47,128.04,35.73,655.68,9150.18
20,755,person,680.87,675.13,61.34,88.98,680.87,675.13,5458.53
20,762,person,354.96,496.73,163.12,135.17,354.96,496.73,22050.15
20,754,person,768.32,342.01,65.74,145.9,768.32,342.01,9591.85
21,757,person,35.44,655.27,70.87,128.42,35.44,655.27,9101.23
21,755,person,681.84,674.95,60.92,89.22,681.84,674.95,5435.45
21,762,person,356.79,493.71,162.2,138.27,356.79,493.71,22427.49
21,754,person,766.45,341.64,67.86,145.5,766.45,341.64,9873.93
21,770,carton,579.07,627.94,81.89,114.54,579.07,627.94,9379.06
22,757,person,34.07,654.05,68.13,129.33,34.07,654.05,8811.34
22,755,person,682.73,675.2,59.9,88.61,682.73,675.2,5307.71
22,762,person,361.09,492.2,161.03,140.82,361.09,492.2,22676.6
22,754,person,765.7,341.24,69.85,145.88,765.7,341.24,10190.61
22,770,carton,579.54,627.28,82.12,114.63,579.54,627.28,9413.35
23,755,person,681.87,675.21,59.59,88.47,681.87,675.21,5271.91
23,762,person,368.73,488.56,163.89,147.2,368.73,488.56,24124.2
23,770,carton,579.76,626.49,81.5,113.55,579.76,626.49,9254.17
24,755,person,681.26,675.2,59.41,88.38,681.26,675.2,5250.9
24,762,person,377.24,484.78,167.35,154.77,377.24,484.78,25899.69
24,770,carton,580.45,624.78,81.93,113.93,580.45,624.78,9334.69
24,754,person,763.86,340.29,71.66,146.02,763.86,340.29,10463.77
25,762,person,388.06,480.63,172.7,165.42,388.06,480.63,28567.43
25,770,carton,580.9,624.2,80.78,111.92,580.9,624.2,9041.01
25,754,person,763.3,340.73,72.76,145.18,763.3,340.73,10563.09
25,776,person,774.31,341.62,56.9,139.69,774.31,341.62,7949.05
25,779,person,738.43,365.77,29.7,94.87,738.43,365.77,2817.6
26,762,person,397.71,474.84,170.93,169.04,397.71,474.84,28894.74
26,770,carton,581.13,621.38,79.24,108.85,581.13,621.38,8625.31
26,754,person,762.81,340.92,73.96,144.8,762.81,340.92,10709.07
27,762,person,405.38,470.17,171.43,174.57,405.38,470.17,29927.08
27,770,carton,581.45,619.16,78.75,107.11,581.45,619.16,8435.44
27,754,person,762.22,340.13,74.53,143.9,762.22,340.13,10725.68
27,776,person,772.34,340.01,56.96,140.15,772.34,340.01,7983.3
28,762,person,412.77,466.92,172.52,181.39,412.77,466.92,31294.23
28,754,person,762.31,339.61,76.02,145.19,762.31,339.61,11036.43
28,776,person,771.89,339.05,57.26,141.04,771.89,339.05,8076.1
28,755,person,680.29,674.2,60.58,90.04,680.29,674.2,5454.52
29,762,person,419.32,464.15,170.25,185.15,419.32,464.15,31522.18
29,754,person,763.38,338.71,76.85,146.18,763.38,338.71,11234.65
29,755,person,679.91,673.78,61.83,91.69,679.91,673.78,5669.27
30,762,person,423.93,460.66,166.71,187.67,423.93,460.66,31287.45
30,754,person,764.68,337.4,76.65,145.81,764.68,337.4,11176.03
30,755,person,680.07,673.53,62.22,92.3,680.07,673.53,5742.9
30,792,person,553.78,353.82,85.88,213.72,553.78,353.82,18353.57
30,776,person,771.0,337.47,56.8,140.9,771.0,337.47,8002.54
31,762,person,431.77,457.72,167.08,195.26,431.77,457.72,32624.96
31,754,person,766.78,337.0,75.75,143.56,766.78,337.0,10874.28
31,755,person,681.26,672.93,62.74,93.51,681.26,672.93,5866.4
31,792,person,557.08,353.01,86.61,215.45,557.08,353.01,18660.41
31,776,person,772.6,336.93,55.85,139.87,772.6,336.93,7811.57
31,770,carton,582.09,620.64,84.14,115.33,582.09,620.64,9704.34
32,762,person,438.15,455.45,167.19,202.92,438.15,455.45,33925.26
32,754,person,768.15,336.98,75.65,142.53,768.15,336.98,10782.55
32,755,person,685.78,673.18,61.04,91.51,685.78,673.18,5585.45
32,792,person,560.28,352.2,87.3,217.29,560.28,352.2,18968.46
32,776,person,772.45,338.33,54.08,136.07,772.45,338.33,7358.44
32,770,carton,581.66,619.9,83.09,114.7,581.66,619.9,9530.18
33,762,person,443.15,451.1,166.27,209.98,443.15,451.1,34914.37
33,755,person,689.55,673.61,59.74,91.22,689.55,673.61,5449.26
33,792,person,561.16,351.73,85.82,213.97,561.16,351.73,18361.86
33,776,person,771.17,339.73,54.42,134.34,771.17,339.73,7311.0
33,770,carton,581.21,619.29,82.17,114.55,581.21,619.29,9412.5
34,762,person,447.31,445.79,165.87,218.0,447.31,445.79,36157.88
34,755,person,690.77,672.48,60.3,93.63,690.77,672.48,5646.16
34,792,person,560.18,351.19,85.23,212.31,560.18,351.19,18095.74
34,770,carton,580.74,618.65,81.75,115.12,580.74,618.65,9411.43
34,754,person,771.46,335.69,76.48,141.6,771.46,335.69,10829.69
35,762,person,451.21,442.21,167.5,228.59,451.21,442.21,38290.0
35,755,person,691.38,671.2,60.69,96.45,691.38,671.2,5853.73
35,792,person,561.76,349.71,84.76,211.91,561.76,349.71,17961.88
35,770,carton,582.05,618.15,81.92,115.26,582.05,618.15,9442.04
35,754,person,771.35,334.52,77.58,141.87,771.35,334.52,11006.3
35,776,person,775.93,336.18,56.1,137.31,775.93,336.18,7703.9
36,762,person,455.85,442.78,169.78,240.05,455.85,442.78,40754.78
36,755,person,691.67,670.77,60.45,97.95,691.67,670.77,5920.93
36,792,person,562.57,348.48,83.01,209.23,562.57,348.48,17367.18
36,754,person,768.97,334.62,75.88,138.93,768.97,334.62,10542.12
36,776,person,773.21,335.54,54.11,135.33,773.21,335.54,7323.09
36,779,person,742.96,352.04,32.98,105.27,742.96,352.04,3472.05
37,762,person,459.91,443.26,170.07,248.94,459.91,443.26,42337.52
37,755,person,691.74,670.61,59.5,98.51,691.74,670.61,5861.59
37,792,person,566.27,347.42,81.61,207.55,566.27,347.42,16938.31
37,754,person,766.59,334.72,75.01,137.73,766.59,334.72,10331.22
37,776,person,771.26,334.67,52.56,133.88,771.26,334.67,7036.26
37,779,person,742.34,350.89,33.49,106.27,742.34,350.89,3559.2
37,770,carton,582.66,616.61,80.76,112.96,582.66,616.61,9122.18
38,762,person,462.19,438.33,161.67,244.19,462.19,438.33,39479.4
38,755,person,691.65,670.21,58.87,99.43,691.65,670.21,5852.87
38,792,person,569.16,343.27,80.16,205.03,569.16,343.27,16435.1
38,754,person,765.56,332.73,77.28,140.82,765.56,332.73,10882.86
39,762,person,465.35,435.53,155.36,240.59,465.35,435.53,37378.84
39,755,person,690.61,668.8,59.16,102.29,690.61,668.8,6051.82
39,792,person,575.08,340.97,79.93,206.87,575.08,340.97,16534.09
39,754,person,763.66,329.94,79.86,144.53,763.66,329.94,11542.37
40,762,person,469.17,434.17,150.85,238.93,469.17,434.17,36044.09
40,755,person,689.97,668.95,58.08,102.02,689.97,668.95,5925.98
40,792,person,575.33,336.74,82.35,203.77,575.33,336.74,16780.41
40,754,person,762.68,326.48,83.03,151.75,762.68,326.48,12600.17
41,762,person,472.87,433.76,146.0,236.58,472.87,433.76,34541.52
41,755,person,689.21,668.7,57.73,102.53,689.21,668.7,5918.7
41,792,person,575.98,336.23,83.31,194.91,575.98,336.23,16238.79
41,754,person,761.97,326.29,80.98,150.88,761.97,326.29,12217.46
42,762,person,476.88,432.45,140.65,232.78,476.88,432.45,32740.94
42,755,person,687.6,667.18,59.23,105.57,687.6,667.18,6253.51
42,792,person,576.77,335.8,86.66,193.08,576.77,335.8,16731.91
43,762,person,480.85,432.96,134.77,228.04,480.85,432.96,30733.59
43,755,person,688.81,666.25,59.52,107.45,688.81,666.25,6395.63
43,792,person,577.43,335.37,90.18,193.02,577.43,335.37,17405.77
44,762,person,484.5,433.21,129.94,225.66,484.5,433.21,29322.55
44,755,person,689.46,666.47,58.55,107.02,689.46,666.47,6266.35
44,792,person,581.82,336.23,92.55,193.98,581.82,336.23,17953.47
44,754,person,754.97,320.17,81.77,159.06,754.97,320.17,13006.37
45,762,person,490.01,433.62,125.72,223.08,490.01,433.62,28046.54
45,755,person,688.76,666.31,58.17,107.33,688.76,666.31,6243.25
45,792,person,580.01,336.87,95.75,194.52,580.01,336.87,18625.01
45,754,person,751.96,316.13,80.65,162.54,751.96,316.13,13108.59
46,762,person,502.51,434.68,122.41,220.94,502.51,434.68,27045.83
46,755,person,687.61,665.29,59.2,109.37,687.61,665.29,6475.1
46,792,person,579.04,333.23,97.25,191.23,579.04,333.23,18598.24
46,754,person,751.13,313.88,80.43,168.17,751.13,313.88,13525.15
46,770,carton,583.23,610.76,81.53,114.08,583.23,610.76,9301.1
47,762,person,523.74,436.18,124.14,223.67,523.74,436.18,27765.76
47,755,person,688.1,665.75,58.67,108.47,688.1,665.75,6363.59
47,792,person,579.59,332.02,100.45,193.13,579.59,332.02,19399.75
47,754,person,751.1,312.56,78.22,169.19,751.1,312.56,13234.53
48,762,person,545.59,434.54,126.69,224.66,545.59,434.54,28463.0
48,755,person,688.47,665.42,58.37,109.13,688.47,665.42,6370.14
48,792,person,579.39,331.84,104.8,197.57,579.39,331.84,20705.32
48,754,person,750.96,309.75,75.54,167.84,750.96,309.75,12678.79
49,762,person,557.22,429.72,129.7,232.66,557.22,429.72,30176.47
49,755,person,689.61,665.71,57.06,108.56,689.61,665.71,6194.39
49,792,person,580.16,329.93,109.62,203.71,580.16,329.93,22329.58
49,754,person,749.62,307.72,76.46,173.78,749.62,307.72,13287.05
49,770,carton,583.48,606.85,82.83,115.9,583.48,606.85,9600.82
50,762,person,564.64,422.8,130.06,238.35,564.64,422.8,31000.56
50,755,person,690.45,666.02,55.78,107.94,690.45,666.02,6020.26
50,792,person,580.94,330.32,111.31,203.41,580.94,330.32,22641.57
50,754,person,747.54,306.95,74.49,173.39,747.54,306.95,12914.79
50,770,carton,582.92,606.26,82.89,116.38,582.92,606.26,9646.54
51,762,person,568.95,415.97,128.57,243.24,568.95,415.97,31275.08
51,755,person,690.45,666.08,54.83,107.81,690.45,666.08,5910.92
51,754,person,744.47,305.35,73.27,173.79,744.47,305.35,12732.47
52,762,person,582.22,408.33,132.03,255.71,582.22,408.33,33760.64
52,755,person,690.17,665.83,54.53,108.31,690.17,665.83,5906.01
52,754,person,741.65,305.03,72.84,175.93,741.65,305.03,12814.94
53,762,person,586.52,398.93,139.03,271.58,586.52,398.93,37759.12
53,755,person,689.95,666.1,54.64,107.78,689.95,666.1,5889.43
53,754,person,740.61,304.49,71.94,176.47,740.61,304.49,12695.99
53,807,person,955.94,578.96,129.5,273.21,955.94,578.96,35380.36
54,762,person,600.29,403.42,132.03,265.54,600.29,403.42,35060.12
54,755,person,691.21,667.08,53.96,105.83,691.21,667.08,5710.55
54,754,person,740.11,305.23,70.69,177.28,740.11,305.23,12532.49
54,807,person,949.02,574.97,133.71,282.37,949.02,574.97,37753.86
54,770,carton,586.22,607.54,83.67,117.53,586.22,607.54,9833.92
55,762,person,607.95,409.09,118.18,243.25,607.95,409.09,28747.76
55,755,person,694.3,667.78,53.05,104.44,694.3,667.78,5540.79
55,754,person,738.69,307.9,69.71,176.74,738.69,307.9,12319.75
55,770,carton,586.75,610.52,82.71,115.9,586.75,610.52,9586.87
56,762,person,612.31,410.71,111.25,234.57,612.31,410.71,26095.7
56,755,person,697.31,668.26,52.63,103.48,697.31,668.26,5446.4
56,754,person,737.81,308.76,68.62,175.89,737.81,308.76,12068.94
57,762,person,616.32,405.56,110.87,241.11,616.32,405.56,26732.16
57,755,person,698.63,668.73,52.14,102.52,698.63,668.73,5345.87
57,754,person,735.98,309.69,67.61,175.72,735.98,309.69,11879.94
57,810,person,934.27,469.45,117.24,149.85,934.27,469.45,17567.89
58,762,person,621.87,403.83,108.79,244.13,621.87,403.83,26558.86
58,755,person,699.92,671.06,49.91,97.74,699.92,671.06,4878.3
58,754,person,734.73,311.58,66.07,174.62,734.73,311.58,11536.56
58,810,person,928.2,468.23,127.27,163.15,928.2,468.23,20763.63
59,762,person,625.98,408.57,102.03,235.37,625.98,408.57,24015.65
59,755,person,700.81,672.52,48.59,94.4,700.81,672.52,4586.65
59,754,person,733.3,314.92,64.43,172.52,733.3,314.92,11115.96
59,810,person,919.3,468.53,127.82,164.3,919.3,468.53,21001.12
60,762,person,625.01,409.55,102.4,240.34,625.01,409.55,24609.57
60,755,person,701.68,673.74,47.87,92.1,701.68,673.74,4409.13
60,754,person,732.92,316.48,63.72,173.2,732.92,316.48,11036.87
60,810,person,910.17,463.78,136.92,177.31,910.17,463.78,24277.77
61,762,person,626.2,410.12,97.63,229.95,626.2,410.12,22450.33
61,755,person,702.51,675.84,46.73,87.87,702.51,675.84,4106.34
61,754,person,736.63,317.13,64.5,174.3,736.63,317.13,11242.22
61,810,person,895.75,461.56,143.25,187.24,895.75,461.56,26822.31
61,770,carton,596.73,625.32,83.85,116.1,596.73,625.32,9734.24
62,762,person,629.56,415.94,97.28,231.06,629.56,415.94,22476.96
62,755,person,705.19,678.54,45.19,82.53,705.19,678.54,3729.64
