frame,object_id,class,x,y,width,height,center_x,center_y,area
1,884,person,685.78,371.15,114.23,360.39,685.78,371.15,41166.8
1,885,person,561.68,438.52,141.05,254.7,561.68,438.52,35925.4
1,888,person,686.79,266.19,114.8,139.49,686.79,266.19,16013.28
2,884,person,687.73,390.03,101.38,318.33,687.73,390.03,32273.95
2,885,person,566.81,430.24,151.46,273.34,566.81,430.24,41400.73
2,888,person,695.44,264.23,118.91,144.3,695.44,264.23,17158.34
3,884,person,692.99,372.77,113.56,355.15,692.99,372.77,40330.01
3,885,person,568.44,441.43,139.37,250.14,568.44,441.43,34862.96
3,888,person,700.63,260.56,121.56,147.1,700.63,260.56,17881.24
4,884,person,693.86,369.29,117.42,365.21,693.86,369.29,42881.36
4,885,person,564.77,450.88,129.51,230.41,564.77,450.88,29840.81
4,888,person,704.47,258.09,122.8,147.87,704.47,258.09,18158.7
5,884,person,697.42,369.58,121.34,374.6,697.42,369.58,45453.78
5,885,person,556.57,448.95,131.01,232.51,556.57,448.95,30461.24
5,888,person,705.74,256.04,123.69,147.79,705.74,256.04,18279.13
6,884,person,688.96,367.26,120.73,371.84,688.96,367.26,44893.54
6,885,person,552.24,440.58,138.1,245.24,552.24,440.58,33866.82
6,888,person,705.11,252.61,125.84,148.86,705.11,252.61,18733.68
7,884,person,683.31,362.22,121.06,372.74,683.31,362.22,45125.41
7,885,person,546.71,440.88,135.99,240.81,546.71,440.88,32748.13
7,888,person,705.96,247.73,128.56,149.88,705.96,247.73,19268.23
7,894,carton,791.75,484.79,166.13,138.9,791.75,484.79,23075.57
8,884,person,678.2,378.84,106.91,324.69,678.2,378.84,34713.05
8,885,person,540.24,439.85,129.44,226.49,540.24,439.85,29317.33
8,888,person,705.39,241.51,132.15,151.48,705.39,241.51,20017.46
8,895,person,536.34,293.77,87.23,125.62,536.34,293.77,10958.38
9,884,person,671.49,383.16,102.01,304.96,671.49,383.16,31107.88
9,885,person,533.23,434.95,130.24,226.8,533.23,434.95,29537.85
9,895,person,529.18,283.66,91.77,132.4,529.18,283.66,12150.93
9,897,person,702.12,346.75,177.08,376.23,702.12,346.75,66623.39
10,884,person,666.34,379.54,103.05,303.84,666.34,379.54,31312.1
10,894,carton,779.95,466.01,170.41,142.46,779.95,466.01,24276.77
10,888,person,702.13,224.91,138.99,155.38,702.13,224.91,21595.59
11,884,person,663.2,371.77,104.18,303.19,663.2,371.77,31586.28
11,894,carton,777.07,458.42,174.88,146.24,777.07,458.42,25575.22
11,885,person,520.22,404.43,151.18,264.46,520.22,404.43,39980.86
11,895,person,514.31,256.9,98.67,142.68,514.31,256.9,14078.17
11,897,person,704.21,329.05,184.02,389.2,704.21,329.05,71622.31
12,884,person,658.46,364.42,106.51,304.74,658.46,364.42,32459.16
12,894,carton,775.88,452.2,177.16,148.07,775.88,452.2,26232.46
12,885,person,528.8,405.47,148.59,249.55,528.8,405.47,37080.55
12,895,person,511.4,243.91,103.35,149.69,511.4,243.91,15470.64
12,897,person,704.46,319.5,189.98,399.62,704.46,319.5,75919.33
13,884,person,655.09,354.61,111.84,316.59,655.09,354.61,35407.55
13,885,person,515.6,397.09,148.98,248.35,515.6,397.09,36997.44
13,897,person,681.01,309.08,188.24,399.09,681.01,309.08,75125.88
13,888,person,697.63,191.86,148.71,160.85,697.63,191.86,23920.62
14,884,person,651.87,346.69,115.23,322.88,651.87,346.69,37205.34
14,885,person,507.21,383.08,158.15,263.8,507.21,383.08,41718.92
14,897,person,668.87,312.14,183.83,392.57,668.87,312.14,72167.05
14,888,person,696.38,183.21,157.18,165.73,696.38,183.21,26049.89
14,894,carton,774.37,438.97,183.13,153.36,774.37,438.97,28084.63
15,884,person,648.3,335.5,118.27,327.95,648.3,335.5,38787.43
15,885,person,499.43,381.58,153.79,255.28,499.43,381.58,39258.95
15,897,person,679.88,299.58,190.48,405.49,679.88,299.58,77237.14
15,888,person,701.09,177.82,172.88,178.53,701.09,177.82,30863.7
