frame,object_id,class,x,y,width,height,center_x,center_y,area
1,1087,person,186.73,529.27,191.13,213.2,186.73,529.27,40748.93
2,1087,person,186.76,529.91,190.87,212.91,186.76,529.91,40636.48
3,1087,person,186.86,529.8,191.2,213.29,186.86,529.8,40781.94
4,1087,person,185.71,530.84,188.67,210.61,185.71,530.84,39737.11
5,1087,person,186.7,531.35,189.07,211.03,186.7,531.35,39899.04
6,1087,person,187.35,531.53,189.45,211.4,187.35,531.53,40049.8
7,1087,person,187.84,531.71,189.58,211.42,187.84,531.71,40081.42
8,1087,person,188.08,531.89,189.92,211.69,188.08,531.89,40205.05
9,1087,person,188.0,532.05,190.13,211.8,188.0,532.05,40268.0
10,1087,person,187.57,532.28,190.16,211.75,187.57,532.28,40267.35
10,1098,person,592.29,348.46,112.94,250.3,592.29,348.46,28269.73
10,1099,person,28.44,467.69,56.88,212.42,28.44,467.69,12082.42
11,1087,person,187.05,532.53,190.01,211.51,187.05,532.53,40187.55
11,1098,person,585.6,348.65,112.42,249.93,585.6,348.65,28095.66
11,1099,person,28.26,468.5,56.51,210.83,28.26,468.5,11914.57
12,1087,person,186.57,532.39,189.15,210.69,186.57,532.39,39853.46
12,1098,person,583.47,347.43,113.52,253.53,583.47,347.43,28780.41
12,1099,person,28.17,467.37,56.33,212.69,28.17,467.37,11981.17
13,1087,person,186.49,532.31,189.24,210.96,186.49,532.31,39923.0
13,1098,person,580.91,345.21,112.61,253.12,580.91,345.21,28504.34
13,1099,person,28.47,465.03,56.94,217.88,28.47,465.03,12405.32
14,1087,person,186.08,532.3,189.42,211.56,186.08,532.3,40073.29
14,1098,person,579.64,342.26,109.58,247.64,579.64,342.26,27137.66
14,1099,person,28.22,466.57,56.43,214.99,28.22,466.57,12132.45
15,1087,person,186.18,532.31,189.37,211.82,186.18,532.31,40112.59
15,1098,person,578.99,341.08,108.38,246.38,578.99,341.08,26703.38
15,1099,person,28.34,465.28,56.69,217.75,28.34,465.28,12343.12
16,1087,person,186.59,532.29,189.23,211.9,186.59,532.29,40097.55
16,1098,person,579.71,339.91,107.27,244.74,579.71,339.91,26254.07
16,1099,person,28.44,463.81,56.88,220.67,28.44,463.81,12552.3
