frame,object_id,class,x,y,width,height,center_x,center_y,area
0,1337,person,902.24,406.98,118.46,238.06,902.24,406.98,28199.69
1,1337,person,895.97,422.7,124.95,248.73,895.97,422.7,31079.52
1,1377,person,1024.7,246.09,70.47,151.37,1024.7,246.09,10667.04
2,1337,person,892.62,429.27,128.0,252.65,892.62,429.27,32339.14
2,1377,person,1025.52,246.04,71.36,153.37,1025.52,246.04,10945.1
3,1337,person,891.23,432.46,129.12,252.56,891.23,432.46,32611.45
4,1337,person,890.65,432.35,129.75,251.47,890.65,432.35,32628.38
5,1337,person,890.94,432.43,130.37,250.25,890.94,432.43,32624.07
6,1337,person,891.62,432.69,131.05,248.98,891.62,432.69,32629.04
7,1337,person,892.12,432.78,131.98,248.19,892.12,432.78,32756.11
8,1337,person,892.92,432.69,132.98,247.44,892.92,432.69,32903.59
8,1377,person,1032.88,242.9,75.14,162.81,1032.88,242.9,12233.55
9,1337,person,894.43,430.68,135.31,249.11,894.43,430.68,33707.69
9,1377,person,1033.7,241.39,74.25,162.21,1033.7,241.39,12044.49
10,1337,person,896.44,428.66,136.2,247.93,896.44,428.66,33768.68
10,1377,person,1035.01,239.27,74.47,163.9,1035.01,239.27,12206.08
11,1337,person,899.2,425.2,138.38,249.71,899.2,425.2,34556.32
11,1377,person,1036.51,236.14,74.83,165.71,1036.51,236.14,12400.65
12,1337,person,903.2,422.64,141.05,253.19,903.2,422.64,35711.29
12,1377,person,1037.75,236.48,74.59,166.34,1037.75,236.48,12407.38
13,1337,person,904.73,422.27,142.75,254.24,904.73,422.27,36292.4
14,1337,person,907.15,422.56,142.78,253.27,907.15,422.56,36161.51
15,1337,person,914.06,421.52,142.1,253.47,914.06,421.52,36016.69
15,1377,person,1044.89,236.62,74.43,167.27,1044.89,236.62,12450.34
16,1337,person,912.57,420.63,143.63,254.16,912.57,420.63,36503.87
16,1377,person,1047.4,238.51,77.59,177.77,1047.4,238.51,13792.89
17,1337,person,919.3,420.92,142.09,252.19,919.3,420.92,35832.7
17,1377,person,1050.13,240.88,78.23,181.58,1050.13,240.88,14205.13
18,1337,person,916.75,422.02,142.83,251.15,916.75,422.02,35871.99
18,1377,person,1053.09,242.82,78.16,182.16,1053.09,242.82,14237.07
19,1337,person,916.06,423.18,144.31,251.29,916.06,423.18,36262.84
19,1377,person,1055.31,243.19,78.25,182.7,1055.31,243.19,14295.73
20,1337,person,916.66,427.9,148.51,257.0,916.66,427.9,38166.82
21,1337,person,915.5,432.88,152.75,262.5,915.5,432.88,40097.86
22,1337,person,914.33,436.34,154.2,262.06,914.33,436.34,40409.38
23,1337,person,913.28,441.83,159.61,268.69,913.28,441.83,42885.46
24,1337,person,912.66,443.0,159.81,265.43,912.66,443.0,42418.5
25,1337,person,912.85,443.47,158.38,258.81,912.85,443.47,40990.93
26,1337,person,912.71,444.11,157.17,252.0,912.71,444.11,39605.98
27,1337,person,912.68,446.14,155.23,243.38,912.68,446.14,37779.84
27,1377,person,1063.79,247.04,68.8,160.91,1063.79,247.04,11071.46
28,1337,person,913.05,444.73,156.09,239.29,913.05,444.73,37351.86
29,1337,person,913.3,441.54,156.82,234.41,913.3,441.54,36759.09
30,1337,person,915.58,439.77,159.72,234.74,915.58,439.77,37492.31
31,1337,person,915.57,434.4,156.79,223.89,915.57,434.4,35104.7
32,1337,person,922.69,439.27,168.05,236.29,922.69,439.27,39709.85
33,1337,person,940.75,441.5,168.97,238.52,940.75,441.5,40302.86
34,1337,person,952.26,443.34,167.65,237.02,952.26,443.34,39736.34
35,1337,person,959.5,443.81,167.08,236.01,959.5,443.81,39433.68
36,1337,person,961.47,442.63,167.34,234.27,961.47,442.63,39203.48
37,1337,person,969.16,440.61,167.07,230.63,969.16,440.61,38529.91
38,1337,person,973.15,438.83,167.32,227.81,973.15,438.83,38117.58
39,1337,person,985.54,434.87,165.84,222.17,985.54,434.87,36843.97
40,1337,person,1006.48,429.74,157.25,210.32,1006.48,429.74,33071.45
41,1337,person,1019.18,425.9,149.77,201.65,1019.18,425.9,30199.94
42,1337,person,1025.6,422.11,145.12,196.09,1025.6,422.11,28456.38
43,1337,person,1031.13,421.46,139.59,189.39,1031.13,421.46,26436.18
44,1337,person,1033.5,423.93,135.76,182.99,1033.5,423.93,24841.92
45,1337,person,1037.92,429.14,136.23,183.54,1037.92,429.14,25003.02
46,1337,person,1040.27,436.0,132.29,178.15,1040.27,436.0,23567.07
48,1337,person,1046.2,447.64,133.76,179.75,1046.2,447.64,24043.21
58,1381,person,1073.51,259.02,61.1,141.26,1073.51,259.02,8631.85
59,1381,person,1073.98,260.83,61.51,142.17,1073.98,260.83,8744.77
60,1381,person,1073.58,261.59,61.47,141.85,1073.58,261.59,8719.57
61,1381,person,1072.67,263.44,64.0,147.38,1072.67,263.44,9432.08
62,1381,person,1071.28,265.61,64.54,148.73,1071.28,265.61,9598.88
63,1381,person,1070.7,266.21,63.92,147.96,1070.7,266.21,9456.83
64,1381,person,1069.34,266.31,62.86,146.33,1069.34,266.31,9198.16
65,1381,person,1068.09,266.84,61.98,145.15,1068.09,266.84,8995.97
66,1381,person,1067.47,269.58,61.94,146.27,1067.47,269.58,9059.46
74,1381,person,1048.7,279.79,56.23,133.74,1048.7,279.79,7519.64
75,1381,person,1045.84,280.8,55.1,130.55,1045.84,280.8,7193.11
83,1387,person,1095.17,453.85,122.4,232.58,1095.17,453.85,28466.64
85,1387,person,1086.61,469.86,113.77,215.31,1086.61,469.86,24495.76
88,1387,person,1067.16,473.0,120.28,225.63,1067.16,473.0,27139.24
89,1387,person,1061.92,468.27,124.71,233.38,1061.92,468.27,29104.94
90,1387,person,1066.95,434.25,160.71,300.22,1066.95,434.25,48248.8
91,1387,person,1059.38,436.44,166.94,307.15,1059.38,436.44,51276.89
92,1387,person,1051.17,434.02,171.37,310.46,1051.17,434.02,53203.91
93,1387,person,1040.25,412.26,200.49,364.42,1040.25,412.26,73062.56
94,1387,person,1026.2,423.75,193.28,343.12,1026.2,423.75,66318.61
95,1387,person,1014.78,436.77,184.72,325.47,1014.78,436.77,60121.34
97,1387,person,977.73,455.58,156.96,278.42,977.73,455.58,43701.14
98,1387,person,966.54,460.04,145.82,261.03,966.54,460.04,38062.43
99,1387,person,954.53,451.14,132.24,235.38,954.53,451.14,31125.66
100,1387,person,950.32,443.37,127.96,228.31,950.32,443.37,29213.95
101,1387,person,945.44,442.73,122.3,218.12,945.44,442.73,26677.19
102,1387,person,944.21,439.83,121.92,219.57,944.21,439.83,26770.12
103,1387,person,943.32,438.53,119.89,218.86,943.32,438.53,26238.78
104,1387,person,934.58,437.11,123.82,227.3,934.58,437.11,28145.0
105,1387,person,929.29,436.73,124.89,229.24,929.29,436.73,28629.06
106,1387,person,927.95,435.85,127.02,233.07,927.95,435.85,29604.34
107,1387,person,928.52,434.84,129.08,237.38,928.52,434.84,30640.22
108,1387,person,931.2,430.09,129.38,240.29,931.2,430.09,31088.54
109,1387,person,930.97,429.6,125.52,234.48,930.97,429.6,29431.76
111,1387,person,924.41,429.7,126.07,234.8,924.41,429.7,29600.36
112,1387,person,917.0,422.44,144.22,273.37,917.0,422.44,39425.9
113,1387,person,911.62,423.13,148.82,287.23,911.62,423.13,42746.91
114,1387,person,905.53,425.45,148.64,291.02,905.53,425.45,43257.48
115,1387,person,903.07,423.38,148.91,294.89,903.07,423.38,43910.73
116,1387,person,901.94,420.98,149.69,299.35,901.94,420.98,44810.43
117,1387,person,899.77,425.19,143.64,289.48,899.77,425.19,41580.45
118,1387,person,900.4,427.91,136.78,274.99,900.4,427.91,37614.49
119,1387,person,890.2,432.34,131.22,268.92,890.2,432.34,35288.52
120,1387,person,885.08,434.8,127.84,267.33,885.08,434.8,34174.71
121,1387,person,880.8,433.5,124.33,264.21,880.8,433.5,32849.39
122,1387,person,878.59,428.87,120.99,260.35,878.59,428.87,31498.47
123,1387,person,876.98,424.14,118.66,258.05,876.98,424.14,30619.81
124,1387,person,870.7,416.32,114.65,249.98,870.7,416.32,28660.96
125,1387,person,867.45,413.59,111.93,247.39,867.45,413.59,27690.41
126,1387,person,862.89,413.33,108.4,242.04,862.89,413.33,26236.76
127,1387,person,858.91,411.31,105.44,238.22,858.91,411.31,25117.37
