frame,object_id,class,x,y,width,height,center_x,center_y,area
0,1387,person,670.38,298.99,91.55,162.82,670.38,298.99,14906.34
1,1387,person,674.33,298.54,76.44,132.7,674.33,298.54,10144.52
1,1606,person,381.33,396.85,80.77,226.67,381.33,396.85,18308.54
1,1607,person,744.74,313.52,59.67,171.42,744.74,313.52,10228.01
1,1608,person,468.69,364.13,71.88,211.16,468.69,364.13,15178.25
2,1387,person,678.57,299.49,71.14,122.43,678.57,299.49,8709.47
2,1606,person,381.6,397.1,81.06,227.4,381.6,397.1,18433.2
2,1607,person,743.5,311.7,58.93,169.36,743.5,311.7,9980.3
2,1608,person,469.86,364.06,71.79,211.02,469.86,364.06,15149.94
3,1387,person,681.92,300.83,71.66,122.89,681.92,300.83,8806.69
3,1606,person,381.43,396.88,81.23,227.7,381.43,396.88,18496.9
3,1607,person,743.68,311.94,59.61,171.77,743.68,311.94,10239.48
3,1608,person,470.83,364.19,71.72,210.76,470.83,364.19,15117.07
4,1387,person,684.62,301.0,71.54,123.34,684.62,301.0,8823.02
4,1606,person,381.44,396.68,81.35,227.86,381.44,396.68,18537.29
4,1607,person,743.06,312.28,59.8,172.91,743.06,312.28,10339.64
4,1608,person,471.9,364.59,71.89,211.22,471.9,364.59,15183.61
5,1387,person,685.05,300.69,71.49,124.52,685.05,300.69,8901.73
5,1606,person,381.57,396.4,81.33,227.64,381.57,396.4,18513.5
5,1607,person,741.69,312.46,60.44,175.24,741.69,312.46,10591.85
5,1608,person,472.36,364.5,71.94,211.37,472.36,364.5,15206.24
6,1387,person,686.2,301.44,70.77,124.82,686.2,301.44,8834.04
6,1606,person,380.95,396.83,81.54,227.79,380.95,396.83,18573.15
6,1607,person,741.31,312.4,60.34,175.4,741.31,312.4,10582.97
6,1608,person,472.35,363.84,72.28,212.54,472.35,363.84,15362.03
7,1387,person,686.54,301.54,69.65,124.53,686.54,301.54,8674.31
7,1606,person,381.58,396.24,81.39,227.46,381.58,396.24,18512.54
7,1607,person,740.74,311.52,59.81,174.07,740.74,311.52,10411.94
7,1608,person,471.63,362.75,71.64,211.16,471.63,362.75,15127.17
8,1387,person,687.36,301.67,68.7,124.85,687.36,301.67,8577.98
8,1606,person,380.72,396.25,81.63,227.5,380.72,396.25,18570.52
8,1607,person,740.65,311.7,59.5,172.97,740.65,311.7,10291.97
8,1608,person,470.39,362.35,71.5,211.44,470.39,362.35,15118.06
9,1387,person,688.97,301.56,68.7,126.87,688.97,301.56,8716.58
